Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-13T05:48:25.794Z,43455,48206,1310,3441,1581572905794
武汉,2020-02-13T05:48:25.794Z,30042,32994,1036,1916,1581572905794
孝感,2020-02-13T05:48:25.794Z,2618,2874,49,207,1581572905794
黄冈,2020-02-13T05:48:25.794Z,2177,2662,58,427,1581572905794
荆州,2020-02-13T05:48:25.794Z,1307,1431,23,101,1581572905794
随州,2020-02-13T05:48:25.794Z,1084,1160,14,62,1581572905794
襄阳,2020-02-13T05:48:25.794Z,1022,1101,13,66,1581572905794
鄂州,2020-02-13T05:48:25.794Z,940,1065,30,95,1581572905794
荆门,2020-02-13T05:48:25.794Z,811,927,24,92,1581572905794
黄石,2020-02-13T05:48:25.794Z,789,911,9,113,1581572905794
宜昌,2020-02-13T05:48:25.794Z,727,810,11,72,1581572905794
十堰,2020-02-13T05:48:25.794Z,480,562,1,81,1581572905794
咸宁,2020-02-13T05:48:25.794Z,443,534,7,84,1581572905794
仙桃,2020-02-13T05:48:25.794Z,416,480,16,48,1581572905794
天门,2020-02-13T05:48:25.794Z,339,362,10,13,1581572905794
恩施州,2020-02-13T05:48:25.794Z,177,229,4,48,1581572905794
潜江,2020-02-13T05:48:25.794Z,81,94,5,8,1581572905794
神农架林区,2020-02-13T05:48:25.794Z,2,10,0,8,1581572905794
广东,2020-02-13T05:48:25.794Z,950,1241,2,289,1581572905794
深圳,2020-02-13T05:48:25.794Z,309,391,0,82,1581572905794
广州,2020-02-13T05:48:25.794Z,256,327,0,71,1581572905794
珠海,2020-02-13T05:48:25.794Z,68,89,0,21,1581572905794
佛山,2020-02-13T05:48:25.794Z,64,81,0,17,1581572905794
东莞,2020-02-13T05:48:25.794Z,63,70,0,7,1581572905794
中山,2020-02-13T05:48:25.794Z,42,64,0,22,1581572905794
惠州,2020-02-13T05:48:25.794Z,48,55,0,7,1581572905794
汕头,2020-02-13T05:48:25.794Z,17,25,0,8,1581572905794
江门,2020-02-13T05:48:25.794Z,18,22,0,4,1581572905794
湛江,2020-02-13T05:48:25.794Z,12,21,0,9,1581572905794
肇庆,2020-02-13T05:48:25.794Z,8,16,1,7,1581572905794
阳江,2020-02-13T05:48:25.794Z,8,13,0,5,1581572905794
梅州,2020-02-13T05:48:25.794Z,8,13,0,5,1581572905794
茂名,2020-02-13T05:48:25.794Z,11,13,0,2,1581572905794
清远,2020-02-13T05:48:25.794Z,7,12,0,5,1581572905794
韶关,2020-02-13T05:48:25.794Z,5,8,0,3,1581572905794
揭阳,2020-02-13T05:48:25.794Z,5,8,0,3,1581572905794
汕尾,2020-02-13T05:48:25.794Z,4,5,0,1,1581572905794
