Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T06:10:14.464Z,48175,54406,1457,4774,1581747014464
武汉,2020-02-15T06:10:14.464Z,34289,37914,1123,2502,1581747014464
孝感,2020-02-15T06:10:14.464Z,2739,3114,62,313,1581747014464
黄冈,2020-02-15T06:10:14.464Z,2138,2817,68,611,1581747014464
荆州,2020-02-15T06:10:14.464Z,1254,1478,32,192,1581747014464
随州,2020-02-15T06:10:14.464Z,1117,1232,19,96,1581747014464
襄阳,2020-02-15T06:10:14.464Z,1025,1128,18,85,1581747014464
鄂州,2020-02-15T06:10:14.464Z,960,1192,33,199,1581747014464
宜昌,2020-02-15T06:10:14.464Z,799,906,15,92,1581747014464
黄石,2020-02-15T06:10:14.464Z,797,980,13,170,1581747014464
荆门,2020-02-15T06:10:14.464Z,762,902,28,112,1581747014464
咸宁,2020-02-15T06:10:14.464Z,705,840,8,127,1581747014464
十堰,2020-02-15T06:10:14.464Z,495,597,2,100,1581747014464
仙桃,2020-02-15T06:10:14.464Z,434,514,17,63,1581747014464
天门,2020-02-15T06:10:14.464Z,391,422,10,21,1581747014464
恩施州,2020-02-15T06:10:14.464Z,169,244,4,71,1581747014464
潜江,2020-02-15T06:10:14.464Z,99,116,5,12,1581747014464
神农架林区,2020-02-15T06:10:14.464Z,2,10,0,8,1581747014464
广东,2020-02-15T06:10:14.464Z,897,1294,2,395,1581747014464
深圳,2020-02-15T06:10:14.464Z,302,406,0,104,1581747014464
广州,2020-02-15T06:10:14.464Z,229,335,0,106,1581747014464
东莞,2020-02-15T06:10:14.464Z,73,81,1,7,1581747014464
佛山,2020-02-15T06:10:14.464Z,62,84,0,22,1581747014464
珠海,2020-02-15T06:10:14.464Z,61,95,0,34,1581747014464
惠州,2020-02-15T06:10:14.464Z,40,58,0,18,1581747014464
中山,2020-02-15T06:10:14.464Z,34,65,0,31,1581747014464
