Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T00:36:39.403Z,48175,54406,1457,4774,1581726999403
武汉,2020-02-15T00:36:39.403Z,34289,37914,1123,2502,1581726999403
孝感,2020-02-15T00:36:39.403Z,2739,3114,62,313,1581726999403
黄冈,2020-02-15T00:36:39.403Z,2138,2817,68,611,1581726999403
荆州,2020-02-15T00:36:39.403Z,1254,1478,32,192,1581726999403
随州,2020-02-15T00:36:39.403Z,1117,1232,19,96,1581726999403
襄阳,2020-02-15T00:36:39.403Z,1025,1128,18,85,1581726999403
鄂州,2020-02-15T00:36:39.403Z,960,1192,33,199,1581726999403
宜昌,2020-02-15T00:36:39.403Z,799,906,15,92,1581726999403
黄石,2020-02-15T00:36:39.403Z,797,980,13,170,1581726999403
荆门,2020-02-15T00:36:39.403Z,762,902,28,112,1581726999403
咸宁,2020-02-15T00:36:39.403Z,705,840,8,127,1581726999403
十堰,2020-02-15T00:36:39.403Z,495,597,2,100,1581726999403
仙桃,2020-02-15T00:36:39.403Z,434,514,17,63,1581726999403
天门,2020-02-15T00:36:39.403Z,391,422,10,21,1581726999403
恩施州,2020-02-15T00:36:39.403Z,169,244,4,71,1581726999403
潜江,2020-02-15T00:36:39.403Z,99,116,5,12,1581726999403
神农架林区,2020-02-15T00:36:39.403Z,2,10,0,8,1581726999403
广东,2020-02-15T00:36:39.403Z,897,1261,2,362,1581726999403
深圳,2020-02-15T00:36:39.403Z,296,400,0,104,1581726999403
广州,2020-02-15T00:36:39.403Z,235,328,0,93,1581726999403
东莞,2020-02-15T00:36:39.403Z,65,73,1,7,1581726999403
珠海,2020-02-15T00:36:39.403Z,64,91,0,27,1581726999403
佛山,2020-02-15T00:36:39.403Z,60,82,0,22,1581726999403
中山,2020-02-15T00:36:39.403Z,38,64,0,26,1581726999403
惠州,2020-02-15T00:36:39.403Z,38,56,0,18,1581726999403
江门,2020-02-15T00:36:39.403Z,19,22,0,3,1581726999403
汕头,2020-02-15T00:36:39.403Z,16,25,0,9,1581726999403
湛江,2020-02-15T00:36:39.403Z,11,22,0,11,1581726999403
茂名,2020-02-15T00:36:39.403Z,10,13,0,3,1581726999403
肇庆,2020-02-15T00:36:39.403Z,9,17,1,7,1581726999403
阳江,2020-02-15T00:36:39.403Z,8,13,0,5,1581726999403
梅州,2020-02-15T00:36:39.403Z,7,14,0,7,1581726999403
清远,2020-02-15T00:36:39.403Z,5,12,0,7,1581726999403
韶关,2020-02-15T00:36:39.403Z,5,8,0,3,1581726999403
潮州,2020-02-15T00:36:39.403Z,5,5,0,0,1581726999403
揭阳,2020-02-15T00:36:39.403Z,4,8,0,4,1581726999403
汕尾,2020-02-15T00:36:39.403Z,4,5,0,1,1581726999403
河源,2020-02-15T00:36:39.403Z,2,3,0,1,1581726999403
待明确地区,2020-02-15T00:36:39.403Z,0,0,0,4,1581726999403
河南,2020-02-15T00:36:39.403Z,816,1184,11,357,1581726999403
信阳,2020-02-15T00:36:39.403Z,182,243,1,60,1581726999403
南阳,2020-02-15T00:36:39.403Z,99,146,2,45,1581726999403
驻马店,2020-02-15T00:36:39.403Z,87,137,0,50,1581726999403
郑州,2020-02-15T00:36:39.403Z,80,142,0,62,1581726999403
商丘,2020-02-15T00:36:39.403Z,61,88,2,25,1581726999403
周口,2020-02-15T00:36:39.403Z,44,69,0,25,1581726999403
新乡,2020-02-15T00:36:39.403Z,43,55,2,10,1581726999403
平顶山,2020-02-15T00:36:39.403Z,37,57,1,19,1581726999403
安阳,2020-02-15T00:36:39.403Z,34,50,0,16,1581726999403
许昌,2020-02-15T00:36:39.403Z,31,37,0,6,1581726999403
漯河,2020-02-15T00:36:39.403Z,24,33,0,9,1581726999403
焦作,2020-02-15T00:36:39.403Z,23,29,1,5,1581726999403
洛阳,2020-02-15T00:36:39.403Z,22,30,0,8,1581726999403
开封,2020-02-15T00:36:39.403Z,17,25,0,8,1581726999403
鹤壁,2020-02-15T00:36:39.403Z,15,19,0,4,1581726999403
濮阳,2020-02-15T00:36:39.403Z,12,13,0,1,1581726999403
济源,2020-02-15T00:36:39.403Z,4,4,0,0,1581726999403
三门峡,2020-02-15T00:36:39.403Z,3,7,0,4,1581726999403
待明确地区,2020-02-15T00:36:39.403Z,0,0,2,0,1581726999403
浙江,2020-02-15T00:36:39.403Z,752,1155,0,403,1581726999403
温州,2020-02-15T00:36:39.403Z,337,496,0,159,1581726999403
宁波,2020-02-15T00:36:39.403Z,107,153,0,46,1581726999403
杭州,2020-02-15T00:36:39.403Z,96,165,0,69,1581726999403
台州,2020-02-15T00:36:39.403Z,92,144,0,52,1581726999403
嘉兴,2020-02-15T00:36:39.403Z,32,42,0,10,1581726999403
金华,2020-02-15T00:36:39.403Z,31,55,0,24,1581726999403
绍兴,2020-02-15T00:36:39.403Z,26,42,0,16,1581726999403
衢州,2020-02-15T00:36:39.403Z,13,21,0,8,1581726999403
丽水,2020-02-15T00:36:39.403Z,7,17,0,10,1581726999403
湖州,2020-02-15T00:36:39.403Z,6,10,0,4,1581726999403
舟山,2020-02-15T00:36:39.403Z,5,10,0,5,1581726999403
安徽,2020-02-15T00:36:39.403Z,735,934,6,193,1581726999403
蚌埠,2020-02-15T00:36:39.403Z,141,149,5,3,1581726999403
合肥,2020-02-15T00:36:39.403Z,127,166,1,38,1581726999403
阜阳,2020-02-15T00:36:39.403Z,118,146,0,28,1581726999403
亳州,2020-02-15T00:36:39.403Z,87,106,0,19,1581726999403
六安,2020-02-15T00:36:39.403Z,53,61,0,8,1581726999403
安庆,2020-02-15T00:36:39.403Z,49,81,0,32,1581726999403
宿州,2020-02-15T00:36:39.403Z,29,39,0,10,1581726999403
马鞍山,2020-02-15T00:36:39.403Z,25,34,0,9,1581726999403
芜湖,2020-02-15T00:36:39.403Z,23,31,0,8,1581726999403
淮北,2020-02-15T00:36:39.403Z,19,25,0,6,1581726999403
铜陵,2020-02-15T00:36:39.403Z,18,28,0,10,1581726999403
淮南,2020-02-15T00:36:39.403Z,17,23,0,6,1581726999403
池州,2020-02-15T00:36:39.403Z,13,17,0,4,1581726999403
黄山,2020-02-15T00:36:39.403Z,8,9,0,1,1581726999403
滁州,2020-02-15T00:36:39.403Z,6,13,0,7,1581726999403
宣城,2020-02-15T00:36:39.403Z,2,6,0,4,1581726999403
江西,2020-02-15T00:36:39.403Z,712,900,1,187,1581726999403
南昌,2020-02-15T00:36:39.403Z,149,217,0,68,1581726999403
上饶,2020-02-15T00:36:39.403Z,104,122,0,18,1581726999403
九江,2020-02-15T00:36:39.403Z,98,114,0,16,1581726999403
新余,2020-02-15T00:36:39.403Z,93,124,0,31,1581726999403
宜春,2020-02-15T00:36:39.403Z,83,101,0,18,1581726999403
赣州,2020-02-15T00:36:39.403Z,63,76,1,12,1581726999403
抚州,2020-02-15T00:36:39.403Z,57,71,0,14,1581726999403
萍乡,2020-02-15T00:36:39.403Z,29,31,0,2,1581726999403
鹰潭,2020-02-15T00:36:39.403Z,16,18,0,2,1581726999403
吉安,2020-02-15T00:36:39.403Z,15,20,0,5,1581726999403
景德镇,2020-02-15T00:36:39.403Z,4,5,0,1,1581726999403
赣江新区,2020-02-15T00:36:39.403Z,1,1,0,0,1581726999403
湖南,2020-02-15T00:36:39.403Z,622,988,2,364,1581726999403
长沙,2020-02-15T00:36:39.403Z,172,238,0,66,1581726999403
岳阳,2020-02-15T00:36:39.403Z,104,149,1,44,1581726999403
邵阳,2020-02-15T00:36:39.403Z,58,100,1,41,1581726999403
株洲,2020-02-15T00:36:39.403Z,56,77,0,21,1581726999403
常德,2020-02-15T00:36:39.403Z,51,78,0,27,1581726999403
娄底,2020-02-15T00:36:39.403Z,48,73,0,25,1581726999403
益阳,2020-02-15T00:36:39.403Z,37,59,0,22,1581726999403
湘潭,2020-02-15T00:36:39.403Z,22,34,0,12,1581726999403
衡阳,2020-02-15T00:36:39.403Z,20,46,0,26,1581726999403
永州,2020-02-15T00:36:39.403Z,20,43,0,23,1581726999403
郴州,2020-02-15T00:36:39.403Z,17,39,0,22,1581726999403
怀化,2020-02-15T00:36:39.403Z,13,39,0,26,1581726999403
湘西自治州,2020-02-15T00:36:39.403Z,2,8,0,6,1581726999403
张家界,2020-02-15T00:36:39.403Z,2,5,0,3,1581726999403
江苏,2020-02-15T00:36:39.403Z,436,593,0,157,1581726999403
苏州,2020-02-15T00:36:39.403Z,68,85,0,17,1581726999403
南京,2020-02-15T00:36:39.403Z,64,91,0,27,1581726999403
徐州,2020-02-15T00:36:39.403Z,56,76,0,20,1581726999403
淮安,2020-02-15T00:36:39.403Z,45,56,0,11,1581726999403
无锡,2020-02-15T00:36:39.403Z,36,51,0,15,1581726999403
连云港,2020-02-15T00:36:39.403Z,35,45,0,10,1581726999403
常州,2020-02-15T00:36:39.403Z,32,43,0,11,1581726999403
南通,2020-02-15T00:36:39.403Z,28,39,0,11,1581726999403
泰州,2020-02-15T00:36:39.403Z,22,37,0,15,1581726999403
盐城,2020-02-15T00:36:39.403Z,20,26,0,6,1581726999403
扬州,2020-02-15T00:36:39.403Z,14,20,0,6,1581726999403
镇江,2020-02-15T00:36:39.403Z,10,12,0,2,1581726999403
宿迁,2020-02-15T00:36:39.403Z,6,12,0,6,1581726999403
山东,2020-02-15T00:36:39.403Z,385,523,2,136,1581726999403
青岛,2020-02-15T00:36:39.403Z,37,55,1,17,1581726999403
济南,2020-02-15T00:36:39.403Z,36,47,0,11,1581726999403
潍坊,2020-02-15T00:36:39.403Z,35,41,0,6,1581726999403
聊城,2020-02-15T00:36:39.403Z,35,38,0,3,1581726999403
烟台,2020-02-15T00:36:39.403Z,34,46,0,12,1581726999403
济宁,2020-02-15T00:36:39.403Z,31,46,0,15,1581726999403
威海,2020-02-15T00:36:39.403Z,29,38,0,9,1581726999403
泰安,2020-02-15T00:36:39.403Z,28,32,0,4,1581726999403
德州,2020-02-15T00:36:39.403Z,27,35,1,7,1581726999403
淄博,2020-02-15T00:36:39.403Z,24,28,0,4,1581726999403
临沂,2020-02-15T00:36:39.403Z,22,47,0,25,1581726999403
枣庄,2020-02-15T00:36:39.403Z,19,23,0,4,1581726999403
日照,2020-02-15T00:36:39.403Z,13,15,0,2,1581726999403
菏泽,2020-02-15T00:36:39.403Z,9,18,0,9,1581726999403
滨州,2020-02-15T00:36:39.403Z,6,14,0,8,1581726999403
重庆,2020-02-15T00:36:39.403Z,380,537,5,152,1581726999403
万州区,2020-02-15T00:36:39.403Z,74,104,3,27,1581726999403
江北区,2020-02-15T00:36:39.403Z,23,26,0,3,1581726999403
綦江区,2020-02-15T00:36:39.403Z,19,22,0,3,1581726999403
合川区,2020-02-15T00:36:39.403Z,18,23,0,5,1581726999403
九龙坡区,2020-02-15T00:36:39.403Z,16,20,1,3,1581726999403
垫江县,2020-02-15T00:36:39.403Z,16,20,0,4,1581726999403
奉节县,2020-02-15T00:36:39.403Z,16,20,0,4,1581726999403
渝中区,2020-02-15T00:36:39.403Z,15,20,0,5,1581726999403
潼南区,2020-02-15T00:36:39.403Z,15,17,0,2,1581726999403
两江新区,2020-02-15T00:36:39.403Z,13,17,0,4,1581726999403
南岸区,2020-02-15T00:36:39.403Z,13,15,0,2,1581726999403
大足区,2020-02-15T00:36:39.403Z,13,14,0,1,1581726999403
云阳县,2020-02-15T00:36:39.403Z,10,23,0,13,1581726999403
忠县,2020-02-15T00:36:39.403Z,10,19,0,9,1581726999403
长寿区,2020-02-15T00:36:39.403Z,10,18,0,8,1581726999403
渝北区,2020-02-15T00:36:39.403Z,10,15,0,5,1581726999403
石柱县,2020-02-15T00:36:39.403Z,9,14,0,5,1581726999403
荣昌区,2020-02-15T00:36:39.403Z,9,9,0,0,1581726999403
丰都县,2020-02-15T00:36:39.403Z,8,10,0,2,1581726999403
铜梁区,2020-02-15T00:36:39.403Z,8,9,0,1,1581726999403
沙坪坝区,2020-02-15T00:36:39.403Z,8,8,0,0,1581726999403
开州区,2020-02-15T00:36:39.403Z,7,20,1,12,1581726999403
巫溪县,2020-02-15T00:36:39.403Z,6,13,0,7,1581726999403
巫山县,2020-02-15T00:36:39.403Z,5,10,0,5,1581726999403
巴南区,2020-02-15T00:36:39.403Z,5,6,0,1,1581726999403
璧山区,2020-02-15T00:36:39.403Z,4,8,0,4,1581726999403
大渡口区,2020-02-15T00:36:39.403Z,3,7,0,4,1581726999403
永川区,2020-02-15T00:36:39.403Z,3,5,0,2,1581726999403
高新区,2020-02-15T00:36:39.403Z,3,4,0,1,1581726999403
江津区,2020-02-15T00:36:39.403Z,2,4,0,2,1581726999403
梁平区,2020-02-15T00:36:39.403Z,2,4,0,2,1581726999403
涪陵区,2020-02-15T00:36:39.403Z,2,3,0,1,1581726999403
彭水县,2020-02-15T00:36:39.403Z,2,2,0,0,1581726999403
武隆区,2020-02-15T00:36:39.403Z,1,1,0,0,1581726999403
酉阳县,2020-02-15T00:36:39.403Z,1,1,0,0,1581726999403
万盛经开区,2020-02-15T00:36:39.403Z,1,1,0,0,1581726999403
黔江区,2020-02-15T00:36:39.403Z,0,2,0,2,1581726999403
城口县,2020-02-15T00:36:39.403Z,0,2,0,2,1581726999403
秀山县,2020-02-15T00:36:39.403Z,0,1,0,1,1581726999403
黑龙江,2020-02-15T00:36:39.403Z,366,425,11,48,1581726999403
哈尔滨,2020-02-15T00:36:39.403Z,145,167,3,19,1581726999403
双鸭山,2020-02-15T00:36:39.403Z,45,48,2,1,1581726999403
鸡西,2020-02-15T00:36:39.403Z,44,45,0,1,1581726999403
绥化,2020-02-15T00:36:39.403Z,35,46,4,7,1581726999403
齐齐哈尔,2020-02-15T00:36:39.403Z,27,36,1,8,1581726999403
大庆,2020-02-15T00:36:39.403Z,17,19,1,1,1581726999403
七台河,2020-02-15T00:36:39.403Z,15,16,0,1,1581726999403
黑河,2020-02-15T00:36:39.403Z,13,13,0,0,1581726999403
牡丹江,2020-02-15T00:36:39.403Z,11,12,0,1,1581726999403
佳木斯,2020-02-15T00:36:39.403Z,8,15,0,7,1581726999403
鹤岗,2020-02-15T00:36:39.403Z,3,5,0,2,1581726999403
大兴安岭,2020-02-15T00:36:39.403Z,2,2,0,0,1581726999403
伊春,2020-02-15T00:36:39.403Z,1,1,0,0,1581726999403
四川,2020-02-15T00:36:39.403Z,348,463,1,114,1581726999403
成都,2020-02-15T00:36:39.403Z,91,135,1,43,1581726999403
甘孜州,2020-02-15T00:36:39.403Z,40,43,0,3,1581726999403
达州,2020-02-15T00:36:39.403Z,31,36,0,5,1581726999403
南充,2020-02-15T00:36:39.403Z,28,35,0,7,1581726999403
巴中,2020-02-15T00:36:39.403Z,23,24,0,1,1581726999403
广安,2020-02-15T00:36:39.403Z,22,30,0,8,1581726999403
绵阳,2020-02-15T00:36:39.403Z,17,22,0,5,1581726999403
泸州,2020-02-15T00:36:39.403Z,17,19,0,2,1581726999403
德阳,2020-02-15T00:36:39.403Z,17,17,0,0,1581726999403
内江,2020-02-15T00:36:39.403Z,16,21,0,5,1581726999403
自贡,2020-02-15T00:36:39.403Z,7,9,0,2,1581726999403
遂宁,2020-02-15T00:36:39.403Z,6,10,0,4,1581726999403
凉山州,2020-02-15T00:36:39.403Z,6,10,0,4,1581726999403
眉山,2020-02-15T00:36:39.403Z,6,8,0,2,1581726999403
宜宾,2020-02-15T00:36:39.403Z,5,11,0,6,1581726999403
雅安,2020-02-15T00:36:39.403Z,5,7,0,2,1581726999403
攀枝花,2020-02-15T00:36:39.403Z,4,13,0,9,1581726999403
广元,2020-02-15T00:36:39.403Z,4,6,0,2,1581726999403
乐山,2020-02-15T00:36:39.403Z,1,3,0,2,1581726999403
