Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T12:16:08.680Z,48136,54406,1457,4813,1581768968660
武汉,2020-02-15T12:16:08.680Z,34260,37914,1123,2531,1581768968660
孝感,2020-02-15T12:16:08.680Z,2739,3114,62,313,1581768968660
黄冈,2020-02-15T12:16:08.680Z,2138,2817,68,611,1581768968660
荆州,2020-02-15T12:16:08.680Z,1253,1478,32,193,1581768968660
随州,2020-02-15T12:16:08.680Z,1117,1232,19,96,1581768968660
襄阳,2020-02-15T12:16:08.680Z,1025,1128,18,85,1581768968660
鄂州,2020-02-15T12:16:08.680Z,960,1192,33,199,1581768968660
宜昌,2020-02-15T12:16:08.680Z,799,906,15,92,1581768968660
黄石,2020-02-15T12:16:08.680Z,789,980,13,178,1581768968660
荆门,2020-02-15T12:16:08.680Z,762,902,28,112,1581768968660
咸宁,2020-02-15T12:16:08.680Z,705,840,8,127,1581768968660
十堰,2020-02-15T12:16:08.680Z,494,597,2,101,1581768968660
仙桃,2020-02-15T12:16:08.680Z,434,514,17,63,1581768968660
天门,2020-02-15T12:16:08.680Z,391,422,10,21,1581768968660
恩施州,2020-02-15T12:16:08.680Z,169,244,4,71,1581768968660
潜江,2020-02-15T12:16:08.680Z,99,116,5,12,1581768968660
神农架林区,2020-02-15T12:16:08.680Z,2,10,0,8,1581768968660
广东,2020-02-15T12:16:08.680Z,883,1294,2,409,1581768968660
深圳,2020-02-15T12:16:08.680Z,291,406,0,115,1581768968660
广州,2020-02-15T12:16:08.680Z,229,335,0,106,1581768968660
东莞,2020-02-15T12:16:08.680Z,73,81,1,7,1581768968660
佛山,2020-02-15T12:16:08.680Z,62,84,0,22,1581768968660
珠海,2020-02-15T12:16:08.680Z,61,95,0,34,1581768968660
中山,2020-02-15T12:16:08.680Z,34,65,0,31,1581768968660
惠州,2020-02-15T12:16:08.680Z,32,58,0,26,1581768968660
江门,2020-02-15T12:16:08.680Z,19,22,0,3,1581768968660
汕头,2020-02-15T12:16:08.680Z,14,25,0,11,1581768968660
湛江,2020-02-15T12:16:08.680Z,11,22,0,11,1581768968660
茂名,2020-02-15T12:16:08.680Z,10,13,0,3,1581768968660
肇庆,2020-02-15T12:16:08.680Z,8,17,1,8,1581768968660
梅州,2020-02-15T12:16:08.680Z,8,15,0,7,1581768968660
阳江,2020-02-15T12:16:08.680Z,6,13,0,7,1581768968660
韶关,2020-02-15T12:16:08.680Z,6,10,0,4,1581768968660
清远,2020-02-15T12:16:08.680Z,5,12,0,7,1581768968660
揭阳,2020-02-15T12:16:08.680Z,4,8,0,4,1581768968660
汕尾,2020-02-15T12:16:08.680Z,4,5,0,1,1581768968660
潮州,2020-02-15T12:16:08.680Z,4,5,0,1,1581768968660
河源,2020-02-15T12:16:08.680Z,2,3,0,1,1581768968660
河南,2020-02-15T12:16:08.680Z,808,1212,13,391,1581768968660
信阳,2020-02-15T12:16:08.680Z,186,252,2,64,1581768968660
南阳,2020-02-15T12:16:08.680Z,96,150,2,52,1581768968660
驻马店,2020-02-15T12:16:08.680Z,79,138,0,59,1581768968660
郑州,2020-02-15T12:16:08.680Z,78,144,0,66,1581768968660
商丘,2020-02-15T12:16:08.680Z,58,90,2,30,1581768968660
周口,2020-02-15T12:16:08.680Z,45,70,0,25,1581768968660
新乡,2020-02-15T12:16:08.680Z,43,55,2,10,1581768968660
平顶山,2020-02-15T12:16:08.680Z,37,58,1,20,1581768968660
安阳,2020-02-15T12:16:08.680Z,33,51,0,18,1581768968660
许昌,2020-02-15T12:16:08.680Z,30,37,0,7,1581768968660
漯河,2020-02-15T12:16:08.680Z,25,34,0,9,1581768968660
焦作,2020-02-15T12:16:08.680Z,23,30,1,6,1581768968660
洛阳,2020-02-15T12:16:08.680Z,22,31,0,9,1581768968660
开封,2020-02-15T12:16:08.680Z,19,25,0,6,1581768968660
鹤壁,2020-02-15T12:16:08.680Z,15,19,0,4,1581768968660
濮阳,2020-02-15T12:16:08.680Z,15,17,0,2,1581768968660
济源,2020-02-15T12:16:08.680Z,4,4,0,0,1581768968660
三门峡,2020-02-15T12:16:08.680Z,3,7,0,4,1581768968660
待明确地区,2020-02-15T12:16:08.680Z,0,0,3,0,1581768968660
浙江,2020-02-15T12:16:08.680Z,734,1162,0,428,1581768968660
温州,2020-02-15T12:16:08.680Z,330,499,0,169,1581768968660
宁波,2020-02-15T12:16:08.680Z,108,154,0,46,1581768968660
杭州,2020-02-15T12:16:08.680Z,93,166,0,73,1581768968660
台州,2020-02-15T12:16:08.680Z,85,145,0,60,1581768968660
嘉兴,2020-02-15T12:16:08.680Z,32,43,0,11,1581768968660
金华,2020-02-15T12:16:08.680Z,31,55,0,24,1581768968660
绍兴,2020-02-15T12:16:08.680Z,25,42,0,17,1581768968660
衢州,2020-02-15T12:16:08.680Z,12,21,0,9,1581768968660
丽水,2020-02-15T12:16:08.680Z,7,17,0,10,1581768968660
湖州,2020-02-15T12:16:08.680Z,6,10,0,4,1581768968660
舟山,2020-02-15T12:16:08.680Z,5,10,0,5,1581768968660
安徽,2020-02-15T12:16:08.680Z,723,950,6,221,1581768968660
蚌埠,2020-02-15T12:16:08.680Z,141,153,5,7,1581768968660
