Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T14:13:20.325Z,48132,54406,1457,4817,1581776000325
武汉,2020-02-15T14:13:20.325Z,34256,37914,1123,2535,1581776000325
孝感,2020-02-15T14:13:20.325Z,2739,3114,62,313,1581776000325
黄冈,2020-02-15T14:13:20.325Z,2138,2817,68,611,1581776000325
荆州,2020-02-15T14:13:20.325Z,1253,1478,32,193,1581776000325
随州,2020-02-15T14:13:20.325Z,1117,1232,19,96,1581776000325
襄阳,2020-02-15T14:13:20.325Z,1025,1128,18,85,1581776000325
鄂州,2020-02-15T14:13:20.325Z,960,1192,33,199,1581776000325
宜昌,2020-02-15T14:13:20.325Z,799,906,15,92,1581776000325
黄石,2020-02-15T14:13:20.325Z,789,980,13,178,1581776000325
荆门,2020-02-15T14:13:20.325Z,762,902,28,112,1581776000325
咸宁,2020-02-15T14:13:20.325Z,705,840,8,127,1581776000325
十堰,2020-02-15T14:13:20.325Z,494,597,2,101,1581776000325
仙桃,2020-02-15T14:13:20.325Z,434,514,17,63,1581776000325
天门,2020-02-15T14:13:20.325Z,391,422,10,21,1581776000325
恩施州,2020-02-15T14:13:20.325Z,169,244,4,71,1581776000325
潜江,2020-02-15T14:13:20.325Z,99,116,5,12,1581776000325
神农架林区,2020-02-15T14:13:20.325Z,2,10,0,8,1581776000325
广东,2020-02-15T14:13:20.325Z,882,1294,2,410,1581776000325
深圳,2020-02-15T14:13:20.325Z,291,406,0,115,1581776000325
广州,2020-02-15T14:13:20.325Z,229,335,0,106,1581776000325
东莞,2020-02-15T14:13:20.325Z,73,81,1,7,1581776000325
珠海,2020-02-15T14:13:20.325Z,61,95,0,34,1581776000325
佛山,2020-02-15T14:13:20.325Z,61,84,0,23,1581776000325
中山,2020-02-15T14:13:20.325Z,34,65,0,31,1581776000325
惠州,2020-02-15T14:13:20.325Z,32,58,0,26,1581776000325
江门,2020-02-15T14:13:20.325Z,19,22,0,3,1581776000325
汕头,2020-02-15T14:13:20.325Z,14,25,0,11,1581776000325
湛江,2020-02-15T14:13:20.325Z,11,22,0,11,1581776000325
茂名,2020-02-15T14:13:20.325Z,10,13,0,3,1581776000325
肇庆,2020-02-15T14:13:20.325Z,8,17,1,8,1581776000325
梅州,2020-02-15T14:13:20.325Z,8,15,0,7,1581776000325
阳江,2020-02-15T14:13:20.325Z,6,13,0,7,1581776000325
韶关,2020-02-15T14:13:20.325Z,6,10,0,4,1581776000325
清远,2020-02-15T14:13:20.325Z,5,12,0,7,1581776000325
揭阳,2020-02-15T14:13:20.325Z,4,8,0,4,1581776000325
汕尾,2020-02-15T14:13:20.325Z,4,5,0,1,1581776000325
潮州,2020-02-15T14:13:20.325Z,4,5,0,1,1581776000325
河源,2020-02-15T14:13:20.325Z,2,3,0,1,1581776000325
河南,2020-02-15T14:13:20.325Z,808,1212,13,391,1581776000325
信阳,2020-02-15T14:13:20.325Z,186,252,2,64,1581776000325
南阳,2020-02-15T14:13:20.325Z,96,150,2,52,1581776000325
驻马店,2020-02-15T14:13:20.325Z,79,138,0,59,1581776000325
郑州,2020-02-15T14:13:20.325Z,78,144,0,66,1581776000325
商丘,2020-02-15T14:13:20.325Z,58,90,2,30,1581776000325
周口,2020-02-15T14:13:20.325Z,45,70,0,25,1581776000325
新乡,2020-02-15T14:13:20.325Z,43,55,2,10,1581776000325
平顶山,2020-02-15T14:13:20.325Z,37,58,1,20,1581776000325
安阳,2020-02-15T14:13:20.325Z,33,51,0,18,1581776000325
许昌,2020-02-15T14:13:20.325Z,30,37,0,7,1581776000325
漯河,2020-02-15T14:13:20.325Z,25,34,0,9,1581776000325
焦作,2020-02-15T14:13:20.325Z,23,30,1,6,1581776000325
洛阳,2020-02-15T14:13:20.325Z,22,31,0,9,1581776000325
开封,2020-02-15T14:13:20.325Z,19,25,0,6,1581776000325
鹤壁,2020-02-15T14:13:20.325Z,15,19,0,4,1581776000325
濮阳,2020-02-15T14:13:20.325Z,15,17,0,2,1581776000325
济源,2020-02-15T14:13:20.325Z,4,4,0,0,1581776000325
三门峡,2020-02-15T14:13:20.325Z,3,7,0,4,1581776000325
待明确地区,2020-02-15T14:13:20.325Z,0,0,3,0,1581776000325
浙江,2020-02-15T14:13:20.325Z,734,1162,0,428,1581776000325
温州,2020-02-15T14:13:20.325Z,330,499,0,169,1581776000325
宁波,2020-02-15T14:13:20.325Z,108,154,0,46,1581776000325
杭州,2020-02-15T14:13:20.325Z,93,166,0,73,1581776000325
台州,2020-02-15T14:13:20.325Z,85,145,0,60,1581776000325
嘉兴,2020-02-15T14:13:20.325Z,32,43,0,11,1581776000325
金华,2020-02-15T14:13:20.325Z,31,55,0,24,1581776000325
绍兴,2020-02-15T14:13:20.325Z,25,42,0,17,1581776000325
衢州,2020-02-15T14:13:20.325Z,12,21,0,9,1581776000325
丽水,2020-02-15T14:13:20.325Z,7,17,0,10,1581776000325
湖州,2020-02-15T14:13:20.325Z,6,10,0,4,1581776000325
舟山,2020-02-15T14:13:20.325Z,5,10,0,5,1581776000325
安徽,2020-02-15T14:13:20.325Z,723,950,6,221,1581776000325
蚌埠,2020-02-15T14:13:20.325Z,141,153,5,7,1581776000325
合肥,2020-02-15T14:13:20.325Z,129,168,1,38,1581776000325
阜阳,2020-02-15T14:13:20.325Z,122,150,0,28,1581776000325
亳州,2020-02-15T14:13:20.325Z,82,107,0,25,1581776000325
安庆,2020-02-15T14:13:20.325Z,49,82,0,33,1581776000325
六安,2020-02-15T14:13:20.325Z,48,63,0,15,1581776000325
宿州,2020-02-15T14:13:20.325Z,28,39,0,11,1581776000325
马鞍山,2020-02-15T14:13:20.325Z,25,35,0,10,1581776000325
芜湖,2020-02-15T14:13:20.325Z,20,31,0,11,1581776000325
铜陵,2020-02-15T14:13:20.325Z,18,28,0,10,1581776000325
淮北,2020-02-15T14:13:20.325Z,16,26,0,10,1581776000325
淮南,2020-02-15T14:13:20.325Z,16,23,0,7,1581776000325
池州,2020-02-15T14:13:20.325Z,13,17,0,4,1581776000325
黄山,2020-02-15T14:13:20.325Z,8,9,0,1,1581776000325
滁州,2020-02-15T14:13:20.325Z,6,13,0,7,1581776000325
宣城,2020-02-15T14:13:20.325Z,2,6,0,4,1581776000325
江西,2020-02-15T14:13:20.325Z,702,913,1,210,1581776000325
南昌,2020-02-15T14:13:20.325Z,150,222,0,72,1581776000325
上饶,2020-02-15T14:13:20.325Z,103,123,0,20,1581776000325
九江,2020-02-15T14:13:20.325Z,97,115,0,18,1581776000325
新余,2020-02-15T14:13:20.325Z,93,127,0,34,1581776000325
宜春,2020-02-15T14:13:20.325Z,82,102,0,20,1581776000325
赣州,2020-02-15T14:13:20.325Z,61,76,1,14,1581776000325
抚州,2020-02-15T14:13:20.325Z,55,72,0,17,1581776000325
萍乡,2020-02-15T14:13:20.325Z,28,32,0,4,1581776000325
鹰潭,2020-02-15T14:13:20.325Z,15,18,0,3,1581776000325
吉安,2020-02-15T14:13:20.325Z,13,20,0,7,1581776000325
景德镇,2020-02-15T14:13:20.325Z,4,5,0,1,1581776000325
赣江新区,2020-02-15T14:13:20.325Z,1,1,0,0,1581776000325
