Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T07:10:57.292Z,48175,54406,1457,4774,1581750657292
武汉,2020-02-15T07:10:57.292Z,34289,37914,1123,2502,1581750657292
孝感,2020-02-15T07:10:57.292Z,2739,3114,62,313,1581750657292
黄冈,2020-02-15T07:10:57.292Z,2138,2817,68,611,1581750657292
荆州,2020-02-15T07:10:57.292Z,1254,1478,32,192,1581750657292
随州,2020-02-15T07:10:57.292Z,1117,1232,19,96,1581750657292
襄阳,2020-02-15T07:10:57.292Z,1025,1128,18,85,1581750657292
鄂州,2020-02-15T07:10:57.292Z,960,1192,33,199,1581750657292
宜昌,2020-02-15T07:10:57.292Z,799,906,15,92,1581750657292
黄石,2020-02-15T07:10:57.292Z,797,980,13,170,1581750657292
荆门,2020-02-15T07:10:57.292Z,762,902,28,112,1581750657292
咸宁,2020-02-15T07:10:57.292Z,705,840,8,127,1581750657292
十堰,2020-02-15T07:10:57.292Z,495,597,2,100,1581750657292
仙桃,2020-02-15T07:10:57.292Z,434,514,17,63,1581750657292
天门,2020-02-15T07:10:57.292Z,391,422,10,21,1581750657292
恩施州,2020-02-15T07:10:57.292Z,169,244,4,71,1581750657292
潜江,2020-02-15T07:10:57.292Z,99,116,5,12,1581750657292
神农架林区,2020-02-15T07:10:57.292Z,2,10,0,8,1581750657292
广东,2020-02-15T07:10:57.292Z,895,1294,2,397,1581750657292
深圳,2020-02-15T07:10:57.292Z,302,406,0,104,1581750657292
广州,2020-02-15T07:10:57.292Z,229,335,0,106,1581750657292
东莞,2020-02-15T07:10:57.292Z,73,81,1,7,1581750657292
佛山,2020-02-15T07:10:57.292Z,62,84,0,22,1581750657292
珠海,2020-02-15T07:10:57.292Z,61,95,0,34,1581750657292
惠州,2020-02-15T07:10:57.292Z,40,58,0,18,1581750657292
中山,2020-02-15T07:10:57.292Z,34,65,0,31,1581750657292
江门,2020-02-15T07:10:57.292Z,19,22,0,3,1581750657292
汕头,2020-02-15T07:10:57.292Z,14,25,0,11,1581750657292
湛江,2020-02-15T07:10:57.292Z,11,22,0,11,1581750657292
茂名,2020-02-15T07:10:57.292Z,10,13,0,3,1581750657292
肇庆,2020-02-15T07:10:57.292Z,9,17,1,7,1581750657292
梅州,2020-02-15T07:10:57.292Z,8,15,0,7,1581750657292
阳江,2020-02-15T07:10:57.292Z,6,13,0,7,1581750657292
韶关,2020-02-15T07:10:57.292Z,6,10,0,4,1581750657292
清远,2020-02-15T07:10:57.292Z,5,12,0,7,1581750657292
揭阳,2020-02-15T07:10:57.292Z,4,8,0,4,1581750657292
汕尾,2020-02-15T07:10:57.292Z,4,5,0,1,1581750657292
潮州,2020-02-15T07:10:57.292Z,4,5,0,1,1581750657292
河源,2020-02-15T07:10:57.292Z,2,3,0,1,1581750657292
待明确地区,2020-02-15T07:10:57.292Z,0,0,0,8,1581750657292
河南,2020-02-15T07:10:57.292Z,821,1212,13,378,1581750657292
信阳,2020-02-15T07:10:57.292Z,187,252,1,64,1581750657292
南阳,2020-02-15T07:10:57.292Z,96,150,2,52,1581750657292
郑州,2020-02-15T07:10:57.292Z,80,144,0,64,1581750657292
驻马店,2020-02-15T07:10:57.292Z,79,138,0,59,1581750657292
商丘,2020-02-15T07:10:57.292Z,63,90,2,25,1581750657292
周口,2020-02-15T07:10:57.292Z,45,70,0,25,1581750657292
新乡,2020-02-15T07:10:57.292Z,43,55,2,10,1581750657292
平顶山,2020-02-15T07:10:57.292Z,38,58,1,19,1581750657292
安阳,2020-02-15T07:10:57.292Z,35,51,0,16,1581750657292
许昌,2020-02-15T07:10:57.292Z,31,37,0,6,1581750657292
漯河,2020-02-15T07:10:57.292Z,25,34,0,9,1581750657292
洛阳,2020-02-15T07:10:57.292Z,23,31,0,8,1581750657292
焦作,2020-02-15T07:10:57.292Z,23,30,1,6,1581750657292
开封,2020-02-15T07:10:57.292Z,19,25,0,6,1581750657292
濮阳,2020-02-15T07:10:57.292Z,16,17,0,1,1581750657292
鹤壁,2020-02-15T07:10:57.292Z,15,19,0,4,1581750657292
济源,2020-02-15T07:10:57.292Z,4,4,0,0,1581750657292
三门峡,2020-02-15T07:10:57.292Z,3,7,0,4,1581750657292
待明确地区,2020-02-15T07:10:57.292Z,0,0,4,0,1581750657292
浙江,2020-02-15T07:10:57.292Z,745,1162,0,417,1581750657292
温州,2020-02-15T07:10:57.292Z,340,499,0,159,1581750657292
宁波,2020-02-15T07:10:57.292Z,108,154,0,46,1581750657292
杭州,2020-02-15T07:10:57.292Z,93,166,0,73,1581750657292
台州,2020-02-15T07:10:57.292Z,85,145,0,60,1581750657292
嘉兴,2020-02-15T07:10:57.292Z,33,43,0,10,1581750657292
金华,2020-02-15T07:10:57.292Z,31,55,0,24,1581750657292
绍兴,2020-02-15T07:10:57.292Z,25,42,0,17,1581750657292
衢州,2020-02-15T07:10:57.292Z,12,21,0,9,1581750657292
丽水,2020-02-15T07:10:57.292Z,7,17,0,10,1581750657292
湖州,2020-02-15T07:10:57.292Z,6,10,0,4,1581750657292
舟山,2020-02-15T07:10:57.292Z,5,10,0,5,1581750657292
安徽,2020-02-15T07:10:57.292Z,728,950,6,216,1581750657292
蚌埠,2020-02-15T07:10:57.292Z,141,153,5,7,1581750657292
合肥,2020-02-15T07:10:57.292Z,129,168,1,38,1581750657292
阜阳,2020-02-15T07:10:57.292Z,122,150,0,28,1581750657292
亳州,2020-02-15T07:10:57.292Z,82,107,0,25,1581750657292
安庆,2020-02-15T07:10:57.292Z,49,82,0,33,1581750657292
六安,2020-02-15T07:10:57.292Z,48,63,0,15,1581750657292
宿州,2020-02-15T07:10:57.292Z,28,39,0,11,1581750657292
马鞍山,2020-02-15T07:10:57.292Z,25,35,0,10,1581750657292
芜湖,2020-02-15T07:10:57.292Z,20,31,0,11,1581750657292
淮北,2020-02-15T07:10:57.292Z,20,26,0,6,1581750657292
铜陵,2020-02-15T07:10:57.292Z,18,28,0,10,1581750657292
淮南,2020-02-15T07:10:57.292Z,17,23,0,6,1581750657292
池州,2020-02-15T07:10:57.292Z,13,17,0,4,1581750657292
黄山,2020-02-15T07:10:57.292Z,8,9,0,1,1581750657292
滁州,2020-02-15T07:10:57.292Z,6,13,0,7,1581750657292
宣城,2020-02-15T07:10:57.292Z,2,6,0,4,1581750657292
江西,2020-02-15T07:10:57.292Z,702,913,1,210,1581750657292
南昌,2020-02-15T07:10:57.292Z,150,222,0,72,1581750657292
上饶,2020-02-15T07:10:57.292Z,103,123,0,20,1581750657292
九江,2020-02-15T07:10:57.292Z,97,115,0,18,1581750657292
新余,2020-02-15T07:10:57.292Z,93,127,0,34,1581750657292
宜春,2020-02-15T07:10:57.292Z,82,102,0,20,1581750657292
赣州,2020-02-15T07:10:57.292Z,61,76,1,14,1581750657292
抚州,2020-02-15T07:10:57.292Z,55,72,0,17,1581750657292
萍乡,2020-02-15T07:10:57.292Z,28,32,0,4,1581750657292
鹰潭,2020-02-15T07:10:57.292Z,15,18,0,3,1581750657292
吉安,2020-02-15T07:10:57.292Z,13,20,0,7,1581750657292
景德镇,2020-02-15T07:10:57.292Z,4,5,0,1,1581750657292
赣江新区,2020-02-15T07:10:57.292Z,1,1,0,0,1581750657292
湖南,2020-02-15T07:10:57.292Z,598,1001,2,401,1581750657292
长沙,2020-02-15T07:10:57.292Z,168,241,0,73,1581750657292
岳阳,2020-02-15T07:10:57.292Z,101,153,1,51,1581750657292
株洲,2020-02-15T07:10:57.292Z,55,78,0,23,1581750657292
常德,2020-02-15T07:10:57.292Z,50,78,0,28,1581750657292
邵阳,2020-02-15T07:10:57.292Z,49,100,1,50,1581750657292
娄底,2020-02-15T07:10:57.292Z,46,75,0,29,1581750657292
益阳,2020-02-15T07:10:57.292Z,35,59,0,24,1581750657292
衡阳,2020-02-15T07:10:57.292Z,21,47,0,26,1581750657292
湘潭,2020-02-15T07:10:57.292Z,21,35,0,14,1581750657292
永州,2020-02-15T07:10:57.292Z,20,43,0,23,1581750657292
郴州,2020-02-15T07:10:57.292Z,17,39,0,22,1581750657292
怀化,2020-02-15T07:10:57.292Z,12,40,0,28,1581750657292
湘西自治州,2020-02-15T07:10:57.292Z,2,8,0,6,1581750657292
张家界,2020-02-15T07:10:57.292Z,1,5,0,4,1581750657292
江苏,2020-02-15T07:10:57.292Z,433,604,0,171,1581750657292
南京,2020-02-15T07:10:57.292Z,64,91,0,27,1581750657292
苏州,2020-02-15T07:10:57.292Z,60,86,0,26,1581750657292
徐州,2020-02-15T07:10:57.292Z,57,77,0,20,1581750657292
淮安,2020-02-15T07:10:57.292Z,49,60,0,11,1581750657292
无锡,2020-02-15T07:10:57.292Z,37,52,0,15,1581750657292
连云港,2020-02-15T07:10:57.292Z,34,46,0,12,1581750657292
常州,2020-02-15T07:10:57.292Z,32,43,0,11,1581750657292
