Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T02:37:37.033Z,48175,54406,1457,4774,1581734257033
武汉,2020-02-15T02:37:37.033Z,34289,37914,1123,2502,1581734257033
孝感,2020-02-15T02:37:37.033Z,2739,3114,62,313,1581734257033
黄冈,2020-02-15T02:37:37.033Z,2138,2817,68,611,1581734257033
荆州,2020-02-15T02:37:37.033Z,1254,1478,32,192,1581734257033
随州,2020-02-15T02:37:37.033Z,1117,1232,19,96,1581734257033
襄阳,2020-02-15T02:37:37.033Z,1025,1128,18,85,1581734257033
鄂州,2020-02-15T02:37:37.033Z,960,1192,33,199,1581734257033
宜昌,2020-02-15T02:37:37.033Z,799,906,15,92,1581734257033
黄石,2020-02-15T02:37:37.033Z,797,980,13,170,1581734257033
荆门,2020-02-15T02:37:37.033Z,762,902,28,112,1581734257033
咸宁,2020-02-15T02:37:37.033Z,705,840,8,127,1581734257033
十堰,2020-02-15T02:37:37.033Z,495,597,2,100,1581734257033
仙桃,2020-02-15T02:37:37.033Z,434,514,17,63,1581734257033
天门,2020-02-15T02:37:37.033Z,391,422,10,21,1581734257033
恩施州,2020-02-15T02:37:37.033Z,169,244,4,71,1581734257033
潜江,2020-02-15T02:37:37.033Z,99,116,5,12,1581734257033
神农架林区,2020-02-15T02:37:37.033Z,2,10,0,8,1581734257033
广东,2020-02-15T02:37:37.033Z,906,1294,2,386,1581734257033
深圳,2020-02-15T02:37:37.033Z,302,406,0,104,1581734257033
广州,2020-02-15T02:37:37.033Z,242,335,0,93,1581734257033
东莞,2020-02-15T02:37:37.033Z,73,81,1,7,1581734257033
珠海,2020-02-15T02:37:37.033Z,68,95,0,27,1581734257033
佛山,2020-02-15T02:37:37.033Z,62,84,0,22,1581734257033
惠州,2020-02-15T02:37:37.033Z,40,58,0,18,1581734257033
中山,2020-02-15T02:37:37.033Z,39,65,0,26,1581734257033
江门,2020-02-15T02:37:37.033Z,18,22,0,4,1581734257033
汕头,2020-02-15T02:37:37.033Z,16,25,0,9,1581734257033
湛江,2020-02-15T02:37:37.033Z,11,22,0,11,1581734257033
茂名,2020-02-15T02:37:37.033Z,10,13,0,3,1581734257033
肇庆,2020-02-15T02:37:37.033Z,9,17,1,7,1581734257033
梅州,2020-02-15T02:37:37.033Z,8,15,0,7,1581734257033
阳江,2020-02-15T02:37:37.033Z,8,13,0,5,1581734257033
韶关,2020-02-15T02:37:37.033Z,7,10,0,3,1581734257033
清远,2020-02-15T02:37:37.033Z,5,12,0,7,1581734257033
潮州,2020-02-15T02:37:37.033Z,5,5,0,0,1581734257033
揭阳,2020-02-15T02:37:37.033Z,4,8,0,4,1581734257033
汕尾,2020-02-15T02:37:37.033Z,4,5,0,1,1581734257033
河源,2020-02-15T02:37:37.033Z,2,3,0,1,1581734257033
待明确地区,2020-02-15T02:37:37.033Z,0,0,0,27,1581734257033
河南,2020-02-15T02:37:37.033Z,843,1212,13,356,1581734257033
信阳,2020-02-15T02:37:37.033Z,191,252,1,60,1581734257033
南阳,2020-02-15T02:37:37.033Z,103,150,2,45,1581734257033
驻马店,2020-02-15T02:37:37.033Z,88,138,0,50,1581734257033
郑州,2020-02-15T02:37:37.033Z,82,144,0,62,1581734257033
商丘,2020-02-15T02:37:37.033Z,63,90,2,25,1581734257033
周口,2020-02-15T02:37:37.033Z,45,70,0,25,1581734257033
新乡,2020-02-15T02:37:37.033Z,43,55,2,10,1581734257033
平顶山,2020-02-15T02:37:37.033Z,38,58,1,19,1581734257033
安阳,2020-02-15T02:37:37.033Z,35,51,0,16,1581734257033
许昌,2020-02-15T02:37:37.033Z,31,37,0,6,1581734257033
漯河,2020-02-15T02:37:37.033Z,25,34,0,9,1581734257033
焦作,2020-02-15T02:37:37.033Z,24,30,1,5,1581734257033
洛阳,2020-02-15T02:37:37.033Z,23,31,0,8,1581734257033
开封,2020-02-15T02:37:37.033Z,19,25,0,6,1581734257033
濮阳,2020-02-15T02:37:37.033Z,16,17,0,1,1581734257033
鹤壁,2020-02-15T02:37:37.033Z,15,19,0,4,1581734257033
济源,2020-02-15T02:37:37.033Z,4,4,0,0,1581734257033
三门峡,2020-02-15T02:37:37.033Z,3,7,0,4,1581734257033
待明确地区,2020-02-15T02:37:37.033Z,0,0,4,1,1581734257033
浙江,2020-02-15T02:37:37.033Z,753,1162,0,409,1581734257033
温州,2020-02-15T02:37:37.033Z,340,499,0,159,1581734257033
宁波,2020-02-15T02:37:37.033Z,108,154,0,46,1581734257033
杭州,2020-02-15T02:37:37.033Z,93,166,0,73,1581734257033
台州,2020-02-15T02:37:37.033Z,92,145,0,53,1581734257033
嘉兴,2020-02-15T02:37:37.033Z,33,43,0,10,1581734257033
金华,2020-02-15T02:37:37.033Z,31,55,0,24,1581734257033
绍兴,2020-02-15T02:37:37.033Z,25,42,0,17,1581734257033
衢州,2020-02-15T02:37:37.033Z,13,21,0,8,1581734257033
丽水,2020-02-15T02:37:37.033Z,7,17,0,10,1581734257033
湖州,2020-02-15T02:37:37.033Z,6,10,0,4,1581734257033
舟山,2020-02-15T02:37:37.033Z,5,10,0,5,1581734257033
安徽,2020-02-15T02:37:37.033Z,746,950,6,198,1581734257033
蚌埠,2020-02-15T02:37:37.033Z,141,153,5,7,1581734257033
合肥,2020-02-15T02:37:37.033Z,129,168,1,38,1581734257033
阜阳,2020-02-15T02:37:37.033Z,122,150,0,28,1581734257033
亳州,2020-02-15T02:37:37.033Z,88,107,0,19,1581734257033
六安,2020-02-15T02:37:37.033Z,55,63,0,8,1581734257033
安庆,2020-02-15T02:37:37.033Z,50,82,0,32,1581734257033
