Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T08:11:38.772Z,48175,54406,1457,4774,1581754298772
武汉,2020-02-15T08:11:38.772Z,34289,37914,1123,2502,1581754298772
孝感,2020-02-15T08:11:38.772Z,2739,3114,62,313,1581754298772
黄冈,2020-02-15T08:11:38.772Z,2138,2817,68,611,1581754298772
荆州,2020-02-15T08:11:38.772Z,1254,1478,32,192,1581754298772
随州,2020-02-15T08:11:38.772Z,1117,1232,19,96,1581754298772
襄阳,2020-02-15T08:11:38.772Z,1025,1128,18,85,1581754298772
鄂州,2020-02-15T08:11:38.772Z,960,1192,33,199,1581754298772
宜昌,2020-02-15T08:11:38.772Z,799,906,15,92,1581754298772
黄石,2020-02-15T08:11:38.772Z,797,980,13,170,1581754298772
荆门,2020-02-15T08:11:38.772Z,762,902,28,112,1581754298772
咸宁,2020-02-15T08:11:38.772Z,705,840,8,127,1581754298772
十堰,2020-02-15T08:11:38.772Z,495,597,2,100,1581754298772
仙桃,2020-02-15T08:11:38.772Z,434,514,17,63,1581754298772
天门,2020-02-15T08:11:38.772Z,391,422,10,21,1581754298772
恩施州,2020-02-15T08:11:38.772Z,169,244,4,71,1581754298772
潜江,2020-02-15T08:11:38.772Z,99,116,5,12,1581754298772
神农架林区,2020-02-15T08:11:38.772Z,2,10,0,8,1581754298772
广东,2020-02-15T08:11:38.772Z,895,1294,2,397,1581754298772
深圳,2020-02-15T08:11:38.772Z,302,406,0,104,1581754298772
广州,2020-02-15T08:11:38.772Z,229,335,0,106,1581754298772
东莞,2020-02-15T08:11:38.772Z,73,81,1,7,1581754298772
佛山,2020-02-15T08:11:38.772Z,62,84,0,22,1581754298772
珠海,2020-02-15T08:11:38.772Z,61,95,0,34,1581754298772
惠州,2020-02-15T08:11:38.772Z,40,58,0,18,1581754298772
中山,2020-02-15T08:11:38.772Z,34,65,0,31,1581754298772
江门,2020-02-15T08:11:38.772Z,19,22,0,3,1581754298772
汕头,2020-02-15T08:11:38.772Z,14,25,0,11,1581754298772
湛江,2020-02-15T08:11:38.772Z,11,22,0,11,1581754298772
茂名,2020-02-15T08:11:38.772Z,10,13,0,3,1581754298772
肇庆,2020-02-15T08:11:38.772Z,9,17,1,7,1581754298772
梅州,2020-02-15T08:11:38.772Z,8,15,0,7,1581754298772
阳江,2020-02-15T08:11:38.772Z,6,13,0,7,1581754298772
韶关,2020-02-15T08:11:38.772Z,6,10,0,4,1581754298772
清远,2020-02-15T08:11:38.772Z,5,12,0,7,1581754298772
揭阳,2020-02-15T08:11:38.772Z,4,8,0,4,1581754298772
汕尾,2020-02-15T08:11:38.772Z,4,5,0,1,1581754298772
潮州,2020-02-15T08:11:38.772Z,4,5,0,1,1581754298772
河源,2020-02-15T08:11:38.772Z,2,3,0,1,1581754298772
待明确地区,2020-02-15T08:11:38.772Z,0,0,0,8,1581754298772
河南,2020-02-15T08:11:38.772Z,821,1212,13,378,1581754298772
信阳,2020-02-15T08:11:38.772Z,187,252,1,64,1581754298772
南阳,2020-02-15T08:11:38.772Z,96,150,2,52,1581754298772
郑州,2020-02-15T08:11:38.772Z,80,144,0,64,1581754298772
驻马店,2020-02-15T08:11:38.772Z,79,138,0,59,1581754298772
商丘,2020-02-15T08:11:38.772Z,63,90,2,25,1581754298772
周口,2020-02-15T08:11:38.772Z,45,70,0,25,1581754298772
新乡,2020-02-15T08:11:38.772Z,43,55,2,10,1581754298772
平顶山,2020-02-15T08:11:38.772Z,38,58,1,19,1581754298772
安阳,2020-02-15T08:11:38.772Z,35,51,0,16,1581754298772
许昌,2020-02-15T08:11:38.772Z,31,37,0,6,1581754298772
漯河,2020-02-15T08:11:38.772Z,25,34,0,9,1581754298772
洛阳,2020-02-15T08:11:38.772Z,23,31,0,8,1581754298772
焦作,2020-02-15T08:11:38.772Z,23,30,1,6,1581754298772
开封,2020-02-15T08:11:38.772Z,19,25,0,6,1581754298772
濮阳,2020-02-15T08:11:38.772Z,16,17,0,1,1581754298772
鹤壁,2020-02-15T08:11:38.772Z,15,19,0,4,1581754298772
济源,2020-02-15T08:11:38.772Z,4,4,0,0,1581754298772
三门峡,2020-02-15T08:11:38.772Z,3,7,0,4,1581754298772
待明确地区,2020-02-15T08:11:38.772Z,0,0,4,0,1581754298772
浙江,2020-02-15T08:11:38.772Z,745,1162,0,417,1581754298772
温州,2020-02-15T08:11:38.772Z,340,499,0,159,1581754298772
宁波,2020-02-15T08:11:38.772Z,108,154,0,46,1581754298772
杭州,2020-02-15T08:11:38.772Z,93,166,0,73,1581754298772
台州,2020-02-15T08:11:38.772Z,85,145,0,60,1581754298772
嘉兴,2020-02-15T08:11:38.772Z,33,43,0,10,1581754298772
金华,2020-02-15T08:11:38.772Z,31,55,0,24,1581754298772
绍兴,2020-02-15T08:11:38.772Z,25,42,0,17,1581754298772
衢州,2020-02-15T08:11:38.772Z,12,21,0,9,1581754298772
丽水,2020-02-15T08:11:38.772Z,7,17,0,10,1581754298772
湖州,2020-02-15T08:11:38.772Z,6,10,0,4,1581754298772
