Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T15:44:06.222Z,48128,54406,1457,4821,1581781446222
武汉,2020-02-15T15:44:06.222Z,34256,37914,1123,2535,1581781446222
孝感,2020-02-15T15:44:06.222Z,2739,3114,62,313,1581781446222
黄冈,2020-02-15T15:44:06.222Z,2138,2817,68,611,1581781446222
荆州,2020-02-15T15:44:06.222Z,1253,1478,32,193,1581781446222
随州,2020-02-15T15:44:06.222Z,1117,1232,19,96,1581781446222
襄阳,2020-02-15T15:44:06.222Z,1025,1128,18,85,1581781446222
鄂州,2020-02-15T15:44:06.222Z,960,1192,33,199,1581781446222
宜昌,2020-02-15T15:44:06.222Z,799,906,15,92,1581781446222
黄石,2020-02-15T15:44:06.222Z,789,980,13,178,1581781446222
荆门,2020-02-15T15:44:06.222Z,762,902,28,112,1581781446222
咸宁,2020-02-15T15:44:06.222Z,705,840,8,127,1581781446222
十堰,2020-02-15T15:44:06.222Z,494,597,2,101,1581781446222
仙桃,2020-02-15T15:44:06.222Z,434,514,17,63,1581781446222
天门,2020-02-15T15:44:06.222Z,391,422,10,21,1581781446222
恩施州,2020-02-15T15:44:06.222Z,165,244,4,75,1581781446222
潜江,2020-02-15T15:44:06.222Z,99,116,5,12,1581781446222
神农架林区,2020-02-15T15:44:06.222Z,2,10,0,8,1581781446222
广东,2020-02-15T15:44:06.222Z,882,1294,2,410,1581781446222
深圳,2020-02-15T15:44:06.222Z,291,406,0,115,1581781446222
广州,2020-02-15T15:44:06.222Z,229,335,0,106,1581781446222
东莞,2020-02-15T15:44:06.222Z,73,81,1,7,1581781446222
珠海,2020-02-15T15:44:06.222Z,61,95,0,34,1581781446222
佛山,2020-02-15T15:44:06.222Z,61,84,0,23,1581781446222
中山,2020-02-15T15:44:06.222Z,34,65,0,31,1581781446222
惠州,2020-02-15T15:44:06.222Z,32,58,0,26,1581781446222
江门,2020-02-15T15:44:06.222Z,19,22,0,3,1581781446222
汕头,2020-02-15T15:44:06.222Z,14,25,0,11,1581781446222
湛江,2020-02-15T15:44:06.222Z,11,22,0,11,1581781446222
茂名,2020-02-15T15:44:06.222Z,10,13,0,3,1581781446222
肇庆,2020-02-15T15:44:06.222Z,8,17,1,8,1581781446222
梅州,2020-02-15T15:44:06.222Z,8,15,0,7,1581781446222
阳江,2020-02-15T15:44:06.222Z,6,13,0,7,1581781446222
韶关,2020-02-15T15:44:06.222Z,6,10,0,4,1581781446222
清远,2020-02-15T15:44:06.222Z,5,12,0,7,1581781446222
揭阳,2020-02-15T15:44:06.222Z,4,8,0,4,1581781446222
汕尾,2020-02-15T15:44:06.222Z,4,5,0,1,1581781446222
潮州,2020-02-15T15:44:06.222Z,4,5,0,1,1581781446222
河源,2020-02-15T15:44:06.222Z,2,3,0,1,1581781446222
河南,2020-02-15T15:44:06.222Z,808,1212,13,391,1581781446222
信阳,2020-02-15T15:44:06.222Z,186,252,2,64,1581781446222
南阳,2020-02-15T15:44:06.222Z,96,150,2,52,1581781446222
驻马店,2020-02-15T15:44:06.222Z,79,138,0,59,1581781446222
郑州,2020-02-15T15:44:06.222Z,78,144,0,66,1581781446222
商丘,2020-02-15T15:44:06.222Z,58,90,2,30,1581781446222
周口,2020-02-15T15:44:06.222Z,45,70,0,25,1581781446222
