Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T01:06:54.439Z,48175,54406,1457,4774,1581728814439
武汉,2020-02-15T01:06:54.439Z,34289,37914,1123,2502,1581728814439
孝感,2020-02-15T01:06:54.439Z,2739,3114,62,313,1581728814439
黄冈,2020-02-15T01:06:54.439Z,2138,2817,68,611,1581728814439
荆州,2020-02-15T01:06:54.439Z,1254,1478,32,192,1581728814439
随州,2020-02-15T01:06:54.439Z,1117,1232,19,96,1581728814439
襄阳,2020-02-15T01:06:54.439Z,1025,1128,18,85,1581728814439
鄂州,2020-02-15T01:06:54.439Z,960,1192,33,199,1581728814439
宜昌,2020-02-15T01:06:54.439Z,799,906,15,92,1581728814439
黄石,2020-02-15T01:06:54.439Z,797,980,13,170,1581728814439
荆门,2020-02-15T01:06:54.439Z,762,902,28,112,1581728814439
咸宁,2020-02-15T01:06:54.439Z,705,840,8,127,1581728814439
十堰,2020-02-15T01:06:54.439Z,495,597,2,100,1581728814439
仙桃,2020-02-15T01:06:54.439Z,434,514,17,63,1581728814439
天门,2020-02-15T01:06:54.439Z,391,422,10,21,1581728814439
恩施州,2020-02-15T01:06:54.439Z,169,244,4,71,1581728814439
潜江,2020-02-15T01:06:54.439Z,99,116,5,12,1581728814439
神农架林区,2020-02-15T01:06:54.439Z,2,10,0,8,1581728814439
广东,2020-02-15T01:06:54.439Z,897,1261,2,362,1581728814439
深圳,2020-02-15T01:06:54.439Z,296,400,0,104,1581728814439
广州,2020-02-15T01:06:54.439Z,235,328,0,93,1581728814439
东莞,2020-02-15T01:06:54.439Z,65,73,1,7,1581728814439
珠海,2020-02-15T01:06:54.439Z,64,91,0,27,1581728814439
佛山,2020-02-15T01:06:54.439Z,60,82,0,22,1581728814439
中山,2020-02-15T01:06:54.439Z,38,64,0,26,1581728814439
惠州,2020-02-15T01:06:54.439Z,38,56,0,18,1581728814439
江门,2020-02-15T01:06:54.439Z,19,22,0,3,1581728814439
汕头,2020-02-15T01:06:54.439Z,16,25,0,9,1581728814439
湛江,2020-02-15T01:06:54.439Z,11,22,0,11,1581728814439
茂名,2020-02-15T01:06:54.439Z,10,13,0,3,1581728814439
肇庆,2020-02-15T01:06:54.439Z,9,17,1,7,1581728814439
阳江,2020-02-15T01:06:54.439Z,8,13,0,5,1581728814439
梅州,2020-02-15T01:06:54.439Z,7,14,0,7,1581728814439
清远,2020-02-15T01:06:54.439Z,5,12,0,7,1581728814439
韶关,2020-02-15T01:06:54.439Z,5,8,0,3,1581728814439
潮州,2020-02-15T01:06:54.439Z,5,5,0,0,1581728814439
揭阳,2020-02-15T01:06:54.439Z,4,8,0,4,1581728814439
汕尾,2020-02-15T01:06:54.439Z,4,5,0,1,1581728814439
河源,2020-02-15T01:06:54.439Z,2,3,0,1,1581728814439
待明确地区,2020-02-15T01:06:54.439Z,0,0,0,4,1581728814439
河南,2020-02-15T01:06:54.439Z,816,1184,11,357,1581728814439
信阳,2020-02-15T01:06:54.439Z,182,243,1,60,1581728814439
南阳,2020-02-15T01:06:54.439Z,99,146,2,45,1581728814439
驻马店,2020-02-15T01:06:54.439Z,87,137,0,50,1581728814439
郑州,2020-02-15T01:06:54.439Z,80,142,0,62,1581728814439
商丘,2020-02-15T01:06:54.439Z,61,88,2,25,1581728814439
周口,2020-02-15T01:06:54.439Z,44,69,0,25,1581728814439
新乡,2020-02-15T01:06:54.439Z,43,55,2,10,1581728814439
平顶山,2020-02-15T01:06:54.439Z,37,57,1,19,1581728814439
安阳,2020-02-15T01:06:54.439Z,34,50,0,16,1581728814439
许昌,2020-02-15T01:06:54.439Z,31,37,0,6,1581728814439
漯河,2020-02-15T01:06:54.439Z,24,33,0,9,1581728814439
焦作,2020-02-15T01:06:54.439Z,23,29,1,5,1581728814439
洛阳,2020-02-15T01:06:54.439Z,22,30,0,8,1581728814439
开封,2020-02-15T01:06:54.439Z,17,25,0,8,1581728814439
鹤壁,2020-02-15T01:06:54.439Z,15,19,0,4,1581728814439
濮阳,2020-02-15T01:06:54.439Z,12,13,0,1,1581728814439
济源,2020-02-15T01:06:54.439Z,4,4,0,0,1581728814439
三门峡,2020-02-15T01:06:54.439Z,3,7,0,4,1581728814439
待明确地区,2020-02-15T01:06:54.439Z,0,0,2,0,1581728814439
浙江,2020-02-15T01:06:54.439Z,752,1155,0,403,1581728814439
温州,2020-02-15T01:06:54.439Z,337,496,0,159,1581728814439
宁波,2020-02-15T01:06:54.439Z,107,153,0,46,1581728814439
杭州,2020-02-15T01:06:54.439Z,96,165,0,69,1581728814439
台州,2020-02-15T01:06:54.439Z,92,144,0,52,1581728814439
嘉兴,2020-02-15T01:06:54.439Z,32,42,0,10,1581728814439
金华,2020-02-15T01:06:54.439Z,31,55,0,24,1581728814439
绍兴,2020-02-15T01:06:54.439Z,26,42,0,16,1581728814439
衢州,2020-02-15T01:06:54.439Z,13,21,0,8,1581728814439
丽水,2020-02-15T01:06:54.439Z,7,17,0,10,1581728814439
湖州,2020-02-15T01:06:54.439Z,6,10,0,4,1581728814439
舟山,2020-02-15T01:06:54.439Z,5,10,0,5,1581728814439
安徽,2020-02-15T01:06:54.439Z,735,934,6,193,1581728814439
蚌埠,2020-02-15T01:06:54.439Z,141,149,5,3,1581728814439
合肥,2020-02-15T01:06:54.439Z,127,166,1,38,1581728814439
阜阳,2020-02-15T01:06:54.439Z,118,146,0,28,1581728814439
亳州,2020-02-15T01:06:54.439Z,87,106,0,19,1581728814439
六安,2020-02-15T01:06:54.439Z,53,61,0,8,1581728814439
安庆,2020-02-15T01:06:54.439Z,49,81,0,32,1581728814439
宿州,2020-02-15T01:06:54.439Z,29,39,0,10,1581728814439
马鞍山,2020-02-15T01:06:54.439Z,25,34,0,9,1581728814439
芜湖,2020-02-15T01:06:54.439Z,23,31,0,8,1581728814439
淮北,2020-02-15T01:06:54.439Z,19,25,0,6,1581728814439
铜陵,2020-02-15T01:06:54.439Z,18,28,0,10,1581728814439
淮南,2020-02-15T01:06:54.439Z,17,23,0,6,1581728814439
池州,2020-02-15T01:06:54.439Z,13,17,0,4,1581728814439
黄山,2020-02-15T01:06:54.439Z,8,9,0,1,1581728814439
滁州,2020-02-15T01:06:54.439Z,6,13,0,7,1581728814439
宣城,2020-02-15T01:06:54.439Z,2,6,0,4,1581728814439
江西,2020-02-15T01:06:54.439Z,712,900,1,187,1581728814439
南昌,2020-02-15T01:06:54.439Z,149,217,0,68,1581728814439
上饶,2020-02-15T01:06:54.439Z,104,122,0,18,1581728814439
九江,2020-02-15T01:06:54.439Z,98,114,0,16,1581728814439
新余,2020-02-15T01:06:54.439Z,93,124,0,31,1581728814439
宜春,2020-02-15T01:06:54.439Z,83,101,0,18,1581728814439
赣州,2020-02-15T01:06:54.439Z,63,76,1,12,1581728814439
抚州,2020-02-15T01:06:54.439Z,57,71,0,14,1581728814439
萍乡,2020-02-15T01:06:54.439Z,29,31,0,2,1581728814439
鹰潭,2020-02-15T01:06:54.439Z,16,18,0,2,1581728814439
吉安,2020-02-15T01:06:54.439Z,15,20,0,5,1581728814439
景德镇,2020-02-15T01:06:54.439Z,4,5,0,1,1581728814439
赣江新区,2020-02-15T01:06:54.439Z,1,1,0,0,1581728814439
湖南,2020-02-15T01:06:54.439Z,610,1001,2,389,1581728814439
长沙,2020-02-15T01:06:54.439Z,175,241,0,66,1581728814439
岳阳,2020-02-15T01:06:54.439Z,104,153,1,48,1581728814439
株洲,2020-02-15T01:06:54.439Z,55,78,0,23,1581728814439
常德,2020-02-15T01:06:54.439Z,51,78,0,27,1581728814439
邵阳,2020-02-15T01:06:54.439Z,49,100,1,50,1581728814439
娄底,2020-02-15T01:06:54.439Z,46,75,0,29,1581728814439
益阳,2020-02-15T01:06:54.439Z,35,59,0,24,1581728814439
衡阳,2020-02-15T01:06:54.439Z,21,47,0,26,1581728814439
湘潭,2020-02-15T01:06:54.439Z,21,35,0,14,1581728814439
永州,2020-02-15T01:06:54.439Z,20,43,0,23,1581728814439
郴州,2020-02-15T01:06:54.439Z,17,39,0,22,1581728814439
怀化,2020-02-15T01:06:54.439Z,12,40,0,28,1581728814439
湘西自治州,2020-02-15T01:06:54.439Z,2,8,0,6,1581728814439
张家界,2020-02-15T01:06:54.439Z,2,5,0,3,1581728814439
江苏,2020-02-15T01:06:54.439Z,444,604,0,160,1581728814439
苏州,2020-02-15T01:06:54.439Z,69,86,0,17,1581728814439
南京,2020-02-15T01:06:54.439Z,64,91,0,27,1581728814439
徐州,2020-02-15T01:06:54.439Z,57,77,0,20,1581728814439
淮安,2020-02-15T01:06:54.439Z,49,60,0,11,1581728814439
无锡,2020-02-15T01:06:54.439Z,37,52,0,15,1581728814439
连云港,2020-02-15T01:06:54.439Z,36,46,0,10,1581728814439
常州,2020-02-15T01:06:54.439Z,32,43,0,11,1581728814439
南通,2020-02-15T01:06:54.439Z,27,40,0,13,1581728814439
泰州,2020-02-15T01:06:54.439Z,21,37,0,16,1581728814439
盐城,2020-02-15T01:06:54.439Z,21,27,0,6,1581728814439
扬州,2020-02-15T01:06:54.439Z,15,21,0,6,1581728814439
镇江,2020-02-15T01:06:54.439Z,10,12,0,2,1581728814439
宿迁,2020-02-15T01:06:54.439Z,6,12,0,6,1581728814439
山东,2020-02-15T01:06:54.439Z,389,530,2,139,1581728814439
青岛,2020-02-15T01:06:54.439Z,36,56,1,19,1581728814439
济南,2020-02-15T01:06:54.439Z,36,47,0,11,1581728814439
潍坊,2020-02-15T01:06:54.439Z,35,42,0,7,1581728814439
聊城,2020-02-15T01:06:54.439Z,35,38,0,3,1581728814439
济宁,2020-02-15T01:06:54.439Z,34,49,0,15,1581728814439
烟台,2020-02-15T01:06:54.439Z,34,46,0,12,1581728814439
威海,2020-02-15T01:06:54.439Z,29,38,0,9,1581728814439
德州,2020-02-15T01:06:54.439Z,28,36,1,7,1581728814439
泰安,2020-02-15T01:06:54.439Z,28,32,0,4,1581728814439
淄博,2020-02-15T01:06:54.439Z,24,28,0,4,1581728814439
临沂,2020-02-15T01:06:54.439Z,22,47,0,25,1581728814439
枣庄,2020-02-15T01:06:54.439Z,20,24,0,4,1581728814439
日照,2020-02-15T01:06:54.439Z,13,15,0,2,1581728814439
菏泽,2020-02-15T01:06:54.439Z,9,18,0,9,1581728814439
滨州,2020-02-15T01:06:54.439Z,6,14,0,8,1581728814439
重庆,2020-02-15T01:06:54.439Z,380,537,5,152,1581728814439
万州区,2020-02-15T01:06:54.439Z,74,104,3,27,1581728814439
江北区,2020-02-15T01:06:54.439Z,23,26,0,3,1581728814439
綦江区,2020-02-15T01:06:54.439Z,19,22,0,3,1581728814439
合川区,2020-02-15T01:06:54.439Z,18,23,0,5,1581728814439
九龙坡区,2020-02-15T01:06:54.439Z,16,20,1,3,1581728814439
垫江县,2020-02-15T01:06:54.439Z,16,20,0,4,1581728814439
奉节县,2020-02-15T01:06:54.439Z,16,20,0,4,1581728814439
渝中区,2020-02-15T01:06:54.439Z,15,20,0,5,1581728814439
潼南区,2020-02-15T01:06:54.439Z,15,17,0,2,1581728814439
两江新区,2020-02-15T01:06:54.439Z,13,17,0,4,1581728814439
南岸区,2020-02-15T01:06:54.439Z,13,15,0,2,1581728814439
大足区,2020-02-15T01:06:54.439Z,13,14,0,1,1581728814439
云阳县,2020-02-15T01:06:54.439Z,10,23,0,13,1581728814439
忠县,2020-02-15T01:06:54.439Z,10,19,0,9,1581728814439
长寿区,2020-02-15T01:06:54.439Z,10,18,0,8,1581728814439
渝北区,2020-02-15T01:06:54.439Z,10,15,0,5,1581728814439
石柱县,2020-02-15T01:06:54.439Z,9,14,0,5,1581728814439
荣昌区,2020-02-15T01:06:54.439Z,9,9,0,0,1581728814439
丰都县,2020-02-15T01:06:54.439Z,8,10,0,2,1581728814439
铜梁区,2020-02-15T01:06:54.439Z,8,9,0,1,1581728814439
沙坪坝区,2020-02-15T01:06:54.439Z,8,8,0,0,1581728814439
开州区,2020-02-15T01:06:54.439Z,7,20,1,12,1581728814439
巫溪县,2020-02-15T01:06:54.439Z,6,13,0,7,1581728814439
巫山县,2020-02-15T01:06:54.439Z,5,10,0,5,1581728814439
巴南区,2020-02-15T01:06:54.439Z,5,6,0,1,1581728814439
璧山区,2020-02-15T01:06:54.439Z,4,8,0,4,1581728814439
大渡口区,2020-02-15T01:06:54.439Z,3,7,0,4,1581728814439
永川区,2020-02-15T01:06:54.439Z,3,5,0,2,1581728814439
高新区,2020-02-15T01:06:54.439Z,3,4,0,1,1581728814439
江津区,2020-02-15T01:06:54.439Z,2,4,0,2,1581728814439
梁平区,2020-02-15T01:06:54.439Z,2,4,0,2,1581728814439
涪陵区,2020-02-15T01:06:54.439Z,2,3,0,1,1581728814439
彭水县,2020-02-15T01:06:54.439Z,2,2,0,0,1581728814439
武隆区,2020-02-15T01:06:54.439Z,1,1,0,0,1581728814439
酉阳县,2020-02-15T01:06:54.439Z,1,1,0,0,1581728814439
万盛经开区,2020-02-15T01:06:54.439Z,1,1,0,0,1581728814439
黔江区,2020-02-15T01:06:54.439Z,0,2,0,2,1581728814439
城口县,2020-02-15T01:06:54.439Z,0,2,0,2,1581728814439
秀山县,2020-02-15T01:06:54.439Z,0,1,0,1,1581728814439
黑龙江,2020-02-15T01:06:54.439Z,366,425,11,48,1581728814439
哈尔滨,2020-02-15T01:06:54.439Z,145,167,3,19,1581728814439
双鸭山,2020-02-15T01:06:54.439Z,45,48,2,1,1581728814439
鸡西,2020-02-15T01:06:54.439Z,44,45,0,1,1581728814439
绥化,2020-02-15T01:06:54.439Z,35,46,4,7,1581728814439
齐齐哈尔,2020-02-15T01:06:54.439Z,27,36,1,8,1581728814439
大庆,2020-02-15T01:06:54.439Z,17,19,1,1,1581728814439
七台河,2020-02-15T01:06:54.439Z,15,16,0,1,1581728814439
黑河,2020-02-15T01:06:54.439Z,13,13,0,0,1581728814439
牡丹江,2020-02-15T01:06:54.439Z,11,12,0,1,1581728814439
佳木斯,2020-02-15T01:06:54.439Z,8,15,0,7,1581728814439
鹤岗,2020-02-15T01:06:54.439Z,3,5,0,2,1581728814439
大兴安岭,2020-02-15T01:06:54.439Z,2,2,0,0,1581728814439
伊春,2020-02-15T01:06:54.439Z,1,1,0,0,1581728814439
四川,2020-02-15T01:06:54.439Z,354,470,1,115,1581728814439
成都,2020-02-15T01:06:54.439Z,94,139,1,44,1581728814439
甘孜州,2020-02-15T01:06:54.439Z,41,44,0,3,1581728814439
达州,2020-02-15T01:06:54.439Z,31,36,0,5,1581728814439
南充,2020-02-15T01:06:54.439Z,28,35,0,7,1581728814439
巴中,2020-02-15T01:06:54.439Z,23,24,0,1,1581728814439
广安,2020-02-15T01:06:54.439Z,22,30,0,8,1581728814439
绵阳,2020-02-15T01:06:54.439Z,17,22,0,5,1581728814439
内江,2020-02-15T01:06:54.439Z,17,22,0,5,1581728814439
泸州,2020-02-15T01:06:54.439Z,17,19,0,2,1581728814439
德阳,2020-02-15T01:06:54.439Z,17,17,0,0,1581728814439
凉山州,2020-02-15T01:06:54.439Z,7,11,0,4,1581728814439
自贡,2020-02-15T01:06:54.439Z,7,9,0,2,1581728814439
遂宁,2020-02-15T01:06:54.439Z,6,10,0,4,1581728814439
眉山,2020-02-15T01:06:54.439Z,6,8,0,2,1581728814439
宜宾,2020-02-15T01:06:54.439Z,5,11,0,6,1581728814439
雅安,2020-02-15T01:06:54.439Z,5,7,0,2,1581728814439
攀枝花,2020-02-15T01:06:54.439Z,4,13,0,9,1581728814439
广元,2020-02-15T01:06:54.439Z,4,6,0,2,1581728814439
乐山,2020-02-15T01:06:54.439Z,1,3,0,2,1581728814439
资阳,2020-02-15T01:06:54.439Z,1,3,0,2,1581728814439
阿坝州,2020-02-15T01:06:54.439Z,1,1,0,0,1581728814439
北京,2020-02-15T01:06:54.439Z,289,372,3,80,1581728814439
朝阳区,2020-02-15T01:06:54.439Z,58,58,0,0,1581728814439
海淀区,2020-02-15T01:06:54.439Z,58,58,0,0,1581728814439
西城区,2020-02-15T01:06:54.439Z,46,46,0,0,1581728814439
大兴区,2020-02-15T01:06:54.439Z,37,39,0,2,1581728814439
丰台区,2020-02-15T01:06:54.439Z,33,36,0,3,1581728814439
外地来京人员,2020-02-15T01:06:54.439Z,24,26,0,2,1581728814439
昌平区,2020-02-15T01:06:54.439Z,24,24,0,0,1581728814439
通州区,2020-02-15T01:06:54.439Z,16,17,0,1,1581728814439
房山区,2020-02-15T01:06:54.439Z,14,14,0,0,1581728814439
石景山区,2020-02-15T01:06:54.439Z,13,14,0,1,1581728814439
东城区,2020-02-15T01:06:54.439Z,12,12,0,0,1581728814439
顺义区,2020-02-15T01:06:54.439Z,10,10,0,0,1581728814439
怀柔区,2020-02-15T01:06:54.439Z,7,7,0,0,1581728814439
密云区,2020-02-15T01:06:54.439Z,7,7,0,0,1581728814439
门头沟区,2020-02-15T01:06:54.439Z,3,3,0,0,1581728814439
延庆区,2020-02-15T01:06:54.439Z,1,1,0,0,1581728814439
待明确地区,2020-02-15T01:06:54.439Z,0,0,3,71,1581728814439
上海,2020-02-15T01:06:54.439Z,235,326,1,90,1581728814439
