Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T07:41:17.149Z,48175,54406,1457,4774,1581752477149
武汉,2020-02-15T07:41:17.149Z,34289,37914,1123,2502,1581752477149
孝感,2020-02-15T07:41:17.149Z,2739,3114,62,313,1581752477149
黄冈,2020-02-15T07:41:17.149Z,2138,2817,68,611,1581752477149
荆州,2020-02-15T07:41:17.149Z,1254,1478,32,192,1581752477149
随州,2020-02-15T07:41:17.149Z,1117,1232,19,96,1581752477149
襄阳,2020-02-15T07:41:17.149Z,1025,1128,18,85,1581752477149
鄂州,2020-02-15T07:41:17.149Z,960,1192,33,199,1581752477149
宜昌,2020-02-15T07:41:17.149Z,799,906,15,92,1581752477149
黄石,2020-02-15T07:41:17.149Z,797,980,13,170,1581752477149
荆门,2020-02-15T07:41:17.149Z,762,902,28,112,1581752477149
咸宁,2020-02-15T07:41:17.149Z,705,840,8,127,1581752477149
十堰,2020-02-15T07:41:17.149Z,495,597,2,100,1581752477149
仙桃,2020-02-15T07:41:17.149Z,434,514,17,63,1581752477149
天门,2020-02-15T07:41:17.149Z,391,422,10,21,1581752477149
恩施州,2020-02-15T07:41:17.149Z,169,244,4,71,1581752477149
潜江,2020-02-15T07:41:17.149Z,99,116,5,12,1581752477149
神农架林区,2020-02-15T07:41:17.149Z,2,10,0,8,1581752477149
广东,2020-02-15T07:41:17.149Z,895,1294,2,397,1581752477149
深圳,2020-02-15T07:41:17.149Z,302,406,0,104,1581752477149
广州,2020-02-15T07:41:17.149Z,229,335,0,106,1581752477149
东莞,2020-02-15T07:41:17.149Z,73,81,1,7,1581752477149
佛山,2020-02-15T07:41:17.149Z,62,84,0,22,1581752477149
珠海,2020-02-15T07:41:17.149Z,61,95,0,34,1581752477149
惠州,2020-02-15T07:41:17.149Z,40,58,0,18,1581752477149
中山,2020-02-15T07:41:17.149Z,34,65,0,31,1581752477149
江门,2020-02-15T07:41:17.149Z,19,22,0,3,1581752477149
汕头,2020-02-15T07:41:17.149Z,14,25,0,11,1581752477149
湛江,2020-02-15T07:41:17.149Z,11,22,0,11,1581752477149
茂名,2020-02-15T07:41:17.149Z,10,13,0,3,1581752477149
肇庆,2020-02-15T07:41:17.149Z,9,17,1,7,1581752477149
