Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T15:13:49.934Z,48128,54406,1457,4821,1581779629934
武汉,2020-02-15T15:13:49.934Z,34256,37914,1123,2535,1581779629934
孝感,2020-02-15T15:13:49.934Z,2739,3114,62,313,1581779629934
黄冈,2020-02-15T15:13:49.934Z,2138,2817,68,611,1581779629934
荆州,2020-02-15T15:13:49.934Z,1253,1478,32,193,1581779629934
随州,2020-02-15T15:13:49.934Z,1117,1232,19,96,1581779629934
襄阳,2020-02-15T15:13:49.934Z,1025,1128,18,85,1581779629934
鄂州,2020-02-15T15:13:49.934Z,960,1192,33,199,1581779629934
宜昌,2020-02-15T15:13:49.934Z,799,906,15,92,1581779629934
黄石,2020-02-15T15:13:49.934Z,789,980,13,178,1581779629934
荆门,2020-02-15T15:13:49.934Z,762,902,28,112,1581779629934
咸宁,2020-02-15T15:13:49.934Z,705,840,8,127,1581779629934
十堰,2020-02-15T15:13:49.934Z,494,597,2,101,1581779629934
仙桃,2020-02-15T15:13:49.934Z,434,514,17,63,1581779629934
天门,2020-02-15T15:13:49.934Z,391,422,10,21,1581779629934
恩施州,2020-02-15T15:13:49.934Z,165,244,4,75,1581779629934
潜江,2020-02-15T15:13:49.934Z,99,116,5,12,1581779629934
神农架林区,2020-02-15T15:13:49.934Z,2,10,0,8,1581779629934
广东,2020-02-15T15:13:49.934Z,882,1294,2,410,1581779629934
深圳,2020-02-15T15:13:49.934Z,291,406,0,115,1581779629934
广州,2020-02-15T15:13:49.934Z,229,335,0,106,1581779629934
东莞,2020-02-15T15:13:49.934Z,73,81,1,7,1581779629934
珠海,2020-02-15T15:13:49.934Z,61,95,0,34,1581779629934
佛山,2020-02-15T15:13:49.934Z,61,84,0,23,1581779629934
中山,2020-02-15T15:13:49.934Z,34,65,0,31,1581779629934
惠州,2020-02-15T15:13:49.934Z,32,58,0,26,1581779629934
江门,2020-02-15T15:13:49.934Z,19,22,0,3,1581779629934
汕头,2020-02-15T15:13:49.934Z,14,25,0,11,1581779629934
湛江,2020-02-15T15:13:49.934Z,11,22,0,11,1581779629934
茂名,2020-02-15T15:13:49.934Z,10,13,0,3,1581779629934
肇庆,2020-02-15T15:13:49.934Z,8,17,1,8,1581779629934
梅州,2020-02-15T15:13:49.934Z,8,15,0,7,1581779629934
阳江,2020-02-15T15:13:49.934Z,6,13,0,7,1581779629934
韶关,2020-02-15T15:13:49.934Z,6,10,0,4,1581779629934
