Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T16:14:20.749Z,48128,54406,1457,4821,1581783260749
武汉,2020-02-15T16:14:20.749Z,34256,37914,1123,2535,1581783260749
孝感,2020-02-15T16:14:20.749Z,2739,3114,62,313,1581783260749
黄冈,2020-02-15T16:14:20.749Z,2138,2817,68,611,1581783260749
荆州,2020-02-15T16:14:20.749Z,1253,1478,32,193,1581783260749
随州,2020-02-15T16:14:20.749Z,1117,1232,19,96,1581783260749
襄阳,2020-02-15T16:14:20.749Z,1025,1128,18,85,1581783260749
鄂州,2020-02-15T16:14:20.749Z,960,1192,33,199,1581783260749
宜昌,2020-02-15T16:14:20.749Z,799,906,15,92,1581783260749
黄石,2020-02-15T16:14:20.749Z,789,980,13,178,1581783260749
荆门,2020-02-15T16:14:20.749Z,762,902,28,112,1581783260749
咸宁,2020-02-15T16:14:20.749Z,705,840,8,127,1581783260749
十堰,2020-02-15T16:14:20.749Z,494,597,2,101,1581783260749
仙桃,2020-02-15T16:14:20.749Z,434,514,17,63,1581783260749
天门,2020-02-15T16:14:20.749Z,391,422,10,21,1581783260749
恩施州,2020-02-15T16:14:20.749Z,165,244,4,75,1581783260749
潜江,2020-02-15T16:14:20.749Z,99,116,5,12,1581783260749
神农架林区,2020-02-15T16:14:20.749Z,2,10,0,8,1581783260749
广东,2020-02-15T16:14:20.749Z,882,1294,2,410,1581783260749
深圳,2020-02-15T16:14:20.749Z,291,406,0,115,1581783260749
广州,2020-02-15T16:14:20.749Z,229,335,0,106,1581783260749
东莞,2020-02-15T16:14:20.749Z,73,81,1,7,1581783260749
珠海,2020-02-15T16:14:20.749Z,61,95,0,34,1581783260749
佛山,2020-02-15T16:14:20.749Z,61,84,0,23,1581783260749
中山,2020-02-15T16:14:20.749Z,34,65,0,31,1581783260749
惠州,2020-02-15T16:14:20.749Z,32,58,0,26,1581783260749
江门,2020-02-15T16:14:20.749Z,19,22,0,3,1581783260749
汕头,2020-02-15T16:14:20.749Z,14,25,0,11,1581783260749
湛江,2020-02-15T16:14:20.749Z,11,22,0,11,1581783260749
茂名,2020-02-15T16:14:20.749Z,10,13,0,3,1581783260749
肇庆,2020-02-15T16:14:20.749Z,8,17,1,8,1581783260749
梅州,2020-02-15T16:14:20.749Z,8,15,0,7,1581783260749
阳江,2020-02-15T16:14:20.749Z,6,13,0,7,1581783260749
韶关,2020-02-15T16:14:20.749Z,6,10,0,4,1581783260749
清远,2020-02-15T16:14:20.749Z,5,12,0,7,1581783260749
揭阳,2020-02-15T16:14:20.749Z,4,8,0,4,1581783260749
汕尾,2020-02-15T16:14:20.749Z,4,5,0,1,1581783260749
潮州,2020-02-15T16:14:20.749Z,4,5,0,1,1581783260749
河源,2020-02-15T16:14:20.749Z,2,3,0,1,1581783260749
河南,2020-02-15T16:14:20.749Z,808,1212,13,391,1581783260749
信阳,2020-02-15T16:14:20.749Z,186,252,2,64,1581783260749
南阳,2020-02-15T16:14:20.749Z,96,150,2,52,1581783260749
驻马店,2020-02-15T16:14:20.749Z,79,138,0,59,1581783260749
郑州,2020-02-15T16:14:20.749Z,78,144,0,66,1581783260749
商丘,2020-02-15T16:14:20.749Z,58,90,2,30,1581783260749
周口,2020-02-15T16:14:20.749Z,45,70,0,25,1581783260749
新乡,2020-02-15T16:14:20.749Z,43,55,2,10,1581783260749
平顶山,2020-02-15T16:14:20.749Z,37,58,1,20,1581783260749
安阳,2020-02-15T16:14:20.749Z,33,51,0,18,1581783260749
许昌,2020-02-15T16:14:20.749Z,30,37,0,7,1581783260749
漯河,2020-02-15T16:14:20.749Z,25,34,0,9,1581783260749
焦作,2020-02-15T16:14:20.749Z,23,30,1,6,1581783260749
洛阳,2020-02-15T16:14:20.749Z,22,31,0,9,1581783260749
开封,2020-02-15T16:14:20.749Z,19,25,0,6,1581783260749
鹤壁,2020-02-15T16:14:20.749Z,15,19,0,4,1581783260749
濮阳,2020-02-15T16:14:20.749Z,15,17,0,2,1581783260749
济源,2020-02-15T16:14:20.749Z,4,4,0,0,1581783260749
三门峡,2020-02-15T16:14:20.749Z,3,7,0,4,1581783260749
待明确地区,2020-02-15T16:14:20.749Z,0,0,3,0,1581783260749
浙江,2020-02-15T16:14:20.749Z,734,1162,0,428,1581783260749
温州,2020-02-15T16:14:20.749Z,330,499,0,169,1581783260749
宁波,2020-02-15T16:14:20.749Z,108,154,0,46,1581783260749
杭州,2020-02-15T16:14:20.749Z,93,166,0,73,1581783260749
台州,2020-02-15T16:14:20.749Z,85,145,0,60,1581783260749
嘉兴,2020-02-15T16:14:20.749Z,32,43,0,11,1581783260749
金华,2020-02-15T16:14:20.749Z,31,55,0,24,1581783260749
绍兴,2020-02-15T16:14:20.749Z,25,42,0,17,1581783260749
衢州,2020-02-15T16:14:20.749Z,12,21,0,9,1581783260749
丽水,2020-02-15T16:14:20.749Z,7,17,0,10,1581783260749
湖州,2020-02-15T16:14:20.749Z,6,10,0,4,1581783260749
舟山,2020-02-15T16:14:20.749Z,5,10,0,5,1581783260749
安徽,2020-02-15T16:14:20.749Z,723,950,6,221,1581783260749
蚌埠,2020-02-15T16:14:20.749Z,141,153,5,7,1581783260749
合肥,2020-02-15T16:14:20.749Z,129,168,1,38,1581783260749
阜阳,2020-02-15T16:14:20.749Z,122,150,0,28,1581783260749
亳州,2020-02-15T16:14:20.749Z,82,107,0,25,1581783260749
