Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T13:12:48.231Z,48132,54406,1457,4817,1581772368231
武汉,2020-02-15T13:12:48.231Z,34256,37914,1123,2535,1581772368231
孝感,2020-02-15T13:12:48.231Z,2739,3114,62,313,1581772368231
黄冈,2020-02-15T13:12:48.231Z,2138,2817,68,611,1581772368231
荆州,2020-02-15T13:12:48.231Z,1253,1478,32,193,1581772368231
随州,2020-02-15T13:12:48.231Z,1117,1232,19,96,1581772368231
襄阳,2020-02-15T13:12:48.231Z,1025,1128,18,85,1581772368231
鄂州,2020-02-15T13:12:48.231Z,960,1192,33,199,1581772368231
宜昌,2020-02-15T13:12:48.231Z,799,906,15,92,1581772368231
黄石,2020-02-15T13:12:48.231Z,789,980,13,178,1581772368231
荆门,2020-02-15T13:12:48.231Z,762,902,28,112,1581772368231
咸宁,2020-02-15T13:12:48.231Z,705,840,8,127,1581772368231
十堰,2020-02-15T13:12:48.231Z,494,597,2,101,1581772368231
仙桃,2020-02-15T13:12:48.231Z,434,514,17,63,1581772368231
天门,2020-02-15T13:12:48.231Z,391,422,10,21,1581772368231
恩施州,2020-02-15T13:12:48.231Z,169,244,4,71,1581772368231
潜江,2020-02-15T13:12:48.231Z,99,116,5,12,1581772368231
神农架林区,2020-02-15T13:12:48.231Z,2,10,0,8,1581772368231
广东,2020-02-15T13:12:48.231Z,883,1294,2,409,1581772368231
深圳,2020-02-15T13:12:48.231Z,291,406,0,115,1581772368231
广州,2020-02-15T13:12:48.231Z,229,335,0,106,1581772368231
东莞,2020-02-15T13:12:48.231Z,73,81,1,7,1581772368231
佛山,2020-02-15T13:12:48.231Z,62,84,0,22,1581772368231
珠海,2020-02-15T13:12:48.231Z,61,95,0,34,1581772368231
中山,2020-02-15T13:12:48.231Z,34,65,0,31,1581772368231
惠州,2020-02-15T13:12:48.231Z,32,58,0,26,1581772368231
江门,2020-02-15T13:12:48.231Z,19,22,0,3,1581772368231
汕头,2020-02-15T13:12:48.231Z,14,25,0,11,1581772368231
湛江,2020-02-15T13:12:48.231Z,11,22,0,11,1581772368231
茂名,2020-02-15T13:12:48.231Z,10,13,0,3,1581772368231
肇庆,2020-02-15T13:12:48.231Z,8,17,1,8,1581772368231
梅州,2020-02-15T13:12:48.231Z,8,15,0,7,1581772368231
阳江,2020-02-15T13:12:48.231Z,6,13,0,7,1581772368231
韶关,2020-02-15T13:12:48.231Z,6,10,0,4,1581772368231
清远,2020-02-15T13:12:48.231Z,5,12,0,7,1581772368231
揭阳,2020-02-15T13:12:48.231Z,4,8,0,4,1581772368231
汕尾,2020-02-15T13:12:48.231Z,4,5,0,1,1581772368231
潮州,2020-02-15T13:12:48.231Z,4,5,0,1,1581772368231
河源,2020-02-15T13:12:48.231Z,2,3,0,1,1581772368231
