Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T10:43:49.670Z,48157,54406,1457,4792,1581763429630
武汉,2020-02-15T10:43:49.670Z,34272,37914,1123,2519,1581763429630
孝感,2020-02-15T10:43:49.670Z,2739,3114,62,313,1581763429630
黄冈,2020-02-15T10:43:49.670Z,2138,2817,68,611,1581763429630
荆州,2020-02-15T10:43:49.670Z,1253,1478,32,193,1581763429630
随州,2020-02-15T10:43:49.670Z,1117,1232,19,96,1581763429630
襄阳,2020-02-15T10:43:49.670Z,1025,1128,18,85,1581763429630
鄂州,2020-02-15T10:43:49.670Z,960,1192,33,199,1581763429630
宜昌,2020-02-15T10:43:49.670Z,799,906,15,92,1581763429630
黄石,2020-02-15T10:43:49.670Z,797,980,13,170,1581763429630
荆门,2020-02-15T10:43:49.670Z,762,902,28,112,1581763429630
咸宁,2020-02-15T10:43:49.670Z,705,840,8,127,1581763429630
十堰,2020-02-15T10:43:49.670Z,495,597,2,100,1581763429630
仙桃,2020-02-15T10:43:49.670Z,434,514,17,63,1581763429630
天门,2020-02-15T10:43:49.670Z,391,422,10,21,1581763429630
恩施州,2020-02-15T10:43:49.670Z,169,244,4,71,1581763429630
潜江,2020-02-15T10:43:49.670Z,99,116,5,12,1581763429630
神农架林区,2020-02-15T10:43:49.670Z,2,10,0,8,1581763429630
广东,2020-02-15T10:43:49.670Z,892,1294,2,400,1581763429630
深圳,2020-02-15T10:43:49.670Z,291,406,0,115,1581763429630
广州,2020-02-15T10:43:49.670Z,229,335,0,106,1581763429630
东莞,2020-02-15T10:43:49.670Z,73,81,1,7,1581763429630
佛山,2020-02-15T10:43:49.670Z,62,84,0,22,1581763429630
珠海,2020-02-15T10:43:49.670Z,61,95,0,34,1581763429630
惠州,2020-02-15T10:43:49.670Z,40,58,0,18,1581763429630
中山,2020-02-15T10:43:49.670Z,34,65,0,31,1581763429630
江门,2020-02-15T10:43:49.670Z,19,22,0,3,1581763429630
汕头,2020-02-15T10:43:49.670Z,14,25,0,11,1581763429630
湛江,2020-02-15T10:43:49.670Z,11,22,0,11,1581763429630
茂名,2020-02-15T10:43:49.670Z,10,13,0,3,1581763429630
肇庆,2020-02-15T10:43:49.670Z,9,17,1,7,1581763429630
梅州,2020-02-15T10:43:49.670Z,8,15,0,7,1581763429630
阳江,2020-02-15T10:43:49.670Z,6,13,0,7,1581763429630
韶关,2020-02-15T10:43:49.670Z,6,10,0,4,1581763429630
清远,2020-02-15T10:43:49.670Z,5,12,0,7,1581763429630
揭阳,2020-02-15T10:43:49.670Z,4,8,0,4,1581763429630
汕尾,2020-02-15T10:43:49.670Z,4,5,0,1,1581763429630
潮州,2020-02-15T10:43:49.670Z,4,5,0,1,1581763429630
河源,2020-02-15T10:43:49.670Z,2,3,0,1,1581763429630
河南,2020-02-15T10:43:49.670Z,811,1212,13,388,1581763429630
信阳,2020-02-15T10:43:49.670Z,187,252,1,64,1581763429630
南阳,2020-02-15T10:43:49.670Z,96,150,2,52,1581763429630
驻马店,2020-02-15T10:43:49.670Z,79,138,0,59,1581763429630
郑州,2020-02-15T10:43:49.670Z,78,144,0,66,1581763429630
商丘,2020-02-15T10:43:49.670Z,58,90,2,30,1581763429630
周口,2020-02-15T10:43:49.670Z,45,70,0,25,1581763429630
新乡,2020-02-15T10:43:49.670Z,43,55,2,10,1581763429630
平顶山,2020-02-15T10:43:49.670Z,38,58,1,19,1581763429630
安阳,2020-02-15T10:43:49.670Z,33,51,0,18,1581763429630
许昌,2020-02-15T10:43:49.670Z,30,37,0,7,1581763429630
漯河,2020-02-15T10:43:49.670Z,25,34,0,9,1581763429630
洛阳,2020-02-15T10:43:49.670Z,23,31,0,8,1581763429630
焦作,2020-02-15T10:43:49.670Z,23,30,1,6,1581763429630
开封,2020-02-15T10:43:49.670Z,19,25,0,6,1581763429630
濮阳,2020-02-15T10:43:49.670Z,16,17,0,1,1581763429630
鹤壁,2020-02-15T10:43:49.670Z,15,19,0,4,1581763429630
济源,2020-02-15T10:43:49.670Z,4,4,0,0,1581763429630
三门峡,2020-02-15T10:43:49.670Z,3,7,0,4,1581763429630
待明确地区,2020-02-15T10:43:49.670Z,0,0,4,0,1581763429630
浙江,2020-02-15T10:43:49.670Z,743,1162,0,419,1581763429630
温州,2020-02-15T10:43:49.670Z,338,499,0,161,1581763429630
宁波,2020-02-15T10:43:49.670Z,108,154,0,46,1581763429630
杭州,2020-02-15T10:43:49.670Z,93,166,0,73,1581763429630
台州,2020-02-15T10:43:49.670Z,85,145,0,60,1581763429630
嘉兴,2020-02-15T10:43:49.670Z,33,43,0,10,1581763429630
金华,2020-02-15T10:43:49.670Z,31,55,0,24,1581763429630
绍兴,2020-02-15T10:43:49.670Z,25,42,0,17,1581763429630
衢州,2020-02-15T10:43:49.670Z,12,21,0,9,1581763429630
丽水,2020-02-15T10:43:49.670Z,7,17,0,10,1581763429630
湖州,2020-02-15T10:43:49.670Z,6,10,0,4,1581763429630
舟山,2020-02-15T10:43:49.670Z,5,10,0,5,1581763429630
安徽,2020-02-15T10:43:49.670Z,727,950,6,217,1581763429630
蚌埠,2020-02-15T10:43:49.670Z,141,153,5,7,1581763429630
合肥,2020-02-15T10:43:49.670Z,129,168,1,38,1581763429630
阜阳,2020-02-15T10:43:49.670Z,122,150,0,28,1581763429630
亳州,2020-02-15T10:43:49.670Z,82,107,0,25,1581763429630
安庆,2020-02-15T10:43:49.670Z,49,82,0,33,1581763429630
六安,2020-02-15T10:43:49.670Z,48,63,0,15,1581763429630
宿州,2020-02-15T10:43:49.670Z,28,39,0,11,1581763429630
马鞍山,2020-02-15T10:43:49.670Z,25,35,0,10,1581763429630
芜湖,2020-02-15T10:43:49.670Z,20,31,0,11,1581763429630
淮北,2020-02-15T10:43:49.670Z,20,26,0,6,1581763429630
铜陵,2020-02-15T10:43:49.670Z,18,28,0,10,1581763429630
淮南,2020-02-15T10:43:49.670Z,16,23,0,7,1581763429630
池州,2020-02-15T10:43:49.670Z,13,17,0,4,1581763429630
黄山,2020-02-15T10:43:49.670Z,8,9,0,1,1581763429630
滁州,2020-02-15T10:43:49.670Z,6,13,0,7,1581763429630
宣城,2020-02-15T10:43:49.670Z,2,6,0,4,1581763429630
江西,2020-02-15T10:43:49.670Z,702,913,1,210,1581763429630
南昌,2020-02-15T10:43:49.670Z,150,222,0,72,1581763429630
上饶,2020-02-15T10:43:49.670Z,103,123,0,20,1581763429630
九江,2020-02-15T10:43:49.670Z,97,115,0,18,1581763429630
新余,2020-02-15T10:43:49.670Z,93,127,0,34,1581763429630
宜春,2020-02-15T10:43:49.670Z,82,102,0,20,1581763429630
赣州,2020-02-15T10:43:49.670Z,61,76,1,14,1581763429630
抚州,2020-02-15T10:43:49.670Z,55,72,0,17,1581763429630
萍乡,2020-02-15T10:43:49.670Z,28,32,0,4,1581763429630
鹰潭,2020-02-15T10:43:49.670Z,15,18,0,3,1581763429630
吉安,2020-02-15T10:43:49.670Z,13,20,0,7,1581763429630
景德镇,2020-02-15T10:43:49.670Z,4,5,0,1,1581763429630
赣江新区,2020-02-15T10:43:49.670Z,1,1,0,0,1581763429630
湖南,2020-02-15T10:43:49.670Z,593,1001,2,406,1581763429630
长沙,2020-02-15T10:43:49.670Z,168,241,0,73,1581763429630
岳阳,2020-02-15T10:43:49.670Z,101,153,1,51,1581763429630
株洲,2020-02-15T10:43:49.670Z,55,78,0,23,1581763429630
常德,2020-02-15T10:43:49.670Z,50,78,0,28,1581763429630
邵阳,2020-02-15T10:43:49.670Z,49,100,1,50,1581763429630
娄底,2020-02-15T10:43:49.670Z,46,75,0,29,1581763429630
益阳,2020-02-15T10:43:49.670Z,34,59,0,25,1581763429630
衡阳,2020-02-15T10:43:49.670Z,21,47,0,26,1581763429630
湘潭,2020-02-15T10:43:49.670Z,21,35,0,14,1581763429630
郴州,2020-02-15T10:43:49.670Z,17,39,0,22,1581763429630
永州,2020-02-15T10:43:49.670Z,16,43,0,27,1581763429630
怀化,2020-02-15T10:43:49.670Z,12,40,0,28,1581763429630
湘西自治州,2020-02-15T10:43:49.670Z,2,8,0,6,1581763429630
张家界,2020-02-15T10:43:49.670Z,1,5,0,4,1581763429630
江苏,2020-02-15T10:43:49.670Z,424,604,0,180,1581763429630
南京,2020-02-15T10:43:49.670Z,64,91,0,27,1581763429630
苏州,2020-02-15T10:43:49.670Z,60,86,0,26,1581763429630
徐州,2020-02-15T10:43:49.670Z,54,77,0,23,1581763429630
淮安,2020-02-15T10:43:49.670Z,49,60,0,11,1581763429630
无锡,2020-02-15T10:43:49.670Z,34,52,0,18,1581763429630
连云港,2020-02-15T10:43:49.670Z,34,46,0,12,1581763429630
常州,2020-02-15T10:43:49.670Z,32,43,0,11,1581763429630
南通,2020-02-15T10:43:49.670Z,27,40,0,13,1581763429630
泰州,2020-02-15T10:43:49.670Z,21,37,0,16,1581763429630
盐城,2020-02-15T10:43:49.670Z,18,27,0,9,1581763429630
扬州,2020-02-15T10:43:49.670Z,15,21,0,6,1581763429630
镇江,2020-02-15T10:43:49.670Z,10,12,0,2,1581763429630
宿迁,2020-02-15T10:43:49.670Z,6,12,0,6,1581763429630
山东,2020-02-15T10:43:49.670Z,375,532,2,155,1581763429630
济南,2020-02-15T10:43:49.670Z,36,47,0,11,1581763429630
青岛,2020-02-15T10:43:49.670Z,34,56,1,21,1581763429630
烟台,2020-02-15T10:43:49.670Z,34,46,0,12,1581763429630
潍坊,2020-02-15T10:43:49.670Z,34,42,0,8,1581763429630
济宁,2020-02-15T10:43:49.670Z,31,49,0,18,1581763429630
威海,2020-02-15T10:43:49.670Z,29,38,0,9,1581763429630
聊城,2020-02-15T10:43:49.670Z,28,38,0,10,1581763429630
德州,2020-02-15T10:43:49.670Z,28,36,1,7,1581763429630
泰安,2020-02-15T10:43:49.670Z,27,32,0,5,1581763429630
淄博,2020-02-15T10:43:49.670Z,25,29,0,4,1581763429630
临沂,2020-02-15T10:43:49.670Z,22,47,0,25,1581763429630
枣庄,2020-02-15T10:43:49.670Z,20,24,0,4,1581763429630
日照,2020-02-15T10:43:49.670Z,14,16,0,2,1581763429630
菏泽,2020-02-15T10:43:49.670Z,8,18,0,10,1581763429630
滨州,2020-02-15T10:43:49.670Z,5,14,0,9,1581763429630
重庆,2020-02-15T10:43:49.670Z,367,538,5,166,1581763429630
万州区,2020-02-15T10:43:49.670Z,67,104,3,34,1581763429630
江北区,2020-02-15T10:43:49.670Z,23,26,0,3,1581763429630
綦江区,2020-02-15T10:43:49.670Z,20,23,0,3,1581763429630
合川区,2020-02-15T10:43:49.670Z,18,23,0,5,1581763429630
九龙坡区,2020-02-15T10:43:49.670Z,16,20,1,3,1581763429630
垫江县,2020-02-15T10:43:49.670Z,16,20,0,4,1581763429630
渝中区,2020-02-15T10:43:49.670Z,15,20,0,5,1581763429630
奉节县,2020-02-15T10:43:49.670Z,15,20,0,5,1581763429630
潼南区,2020-02-15T10:43:49.670Z,15,17,0,2,1581763429630
两江新区,2020-02-15T10:43:49.670Z,13,17,0,4,1581763429630
南岸区,2020-02-15T10:43:49.670Z,13,15,0,2,1581763429630
大足区,2020-02-15T10:43:49.670Z,13,14,0,1,1581763429630
忠县,2020-02-15T10:43:49.670Z,10,19,0,9,1581763429630
长寿区,2020-02-15T10:43:49.670Z,10,18,0,8,1581763429630
渝北区,2020-02-15T10:43:49.670Z,10,15,0,5,1581763429630
石柱县,2020-02-15T10:43:49.670Z,9,14,0,5,1581763429630
荣昌区,2020-02-15T10:43:49.670Z,9,9,0,0,1581763429630
丰都县,2020-02-15T10:43:49.670Z,8,10,0,2,1581763429630
铜梁区,2020-02-15T10:43:49.670Z,8,9,0,1,1581763429630
沙坪坝区,2020-02-15T10:43:49.670Z,8,8,0,0,1581763429630
云阳县,2020-02-15T10:43:49.670Z,7,23,0,16,1581763429630
开州区,2020-02-15T10:43:49.670Z,7,20,1,12,1581763429630
巫溪县,2020-02-15T10:43:49.670Z,5,13,0,8,1581763429630
巫山县,2020-02-15T10:43:49.670Z,5,10,0,5,1581763429630
巴南区,2020-02-15T10:43:49.670Z,5,6,0,1,1581763429630
璧山区,2020-02-15T10:43:49.670Z,4,8,0,4,1581763429630
大渡口区,2020-02-15T10:43:49.670Z,3,7,0,4,1581763429630
永川区,2020-02-15T10:43:49.670Z,3,5,0,2,1581763429630
高新区,2020-02-15T10:43:49.670Z,3,4,0,1,1581763429630
江津区,2020-02-15T10:43:49.670Z,2,4,0,2,1581763429630
涪陵区,2020-02-15T10:43:49.670Z,2,3,0,1,1581763429630
彭水县,2020-02-15T10:43:49.670Z,2,2,0,0,1581763429630
武隆区,2020-02-15T10:43:49.670Z,1,1,0,0,1581763429630
酉阳县,2020-02-15T10:43:49.670Z,1,1,0,0,1581763429630
万盛经开区,2020-02-15T10:43:49.670Z,1,1,0,0,1581763429630
梁平区,2020-02-15T10:43:49.670Z,0,4,0,4,1581763429630
黔江区,2020-02-15T10:43:49.670Z,0,2,0,2,1581763429630
城口县,2020-02-15T10:43:49.670Z,0,2,0,2,1581763429630
秀山县,2020-02-15T10:43:49.670Z,0,1,0,1,1581763429630
黑龙江,2020-02-15T10:43:49.670Z,359,425,11,55,1581763429630
哈尔滨,2020-02-15T10:43:49.670Z,145,167,3,19,1581763429630
双鸭山,2020-02-15T10:43:49.670Z,45,48,2,1,1581763429630
鸡西,2020-02-15T10:43:49.670Z,44,45,0,1,1581763429630
绥化,2020-02-15T10:43:49.670Z,31,46,4,11,1581763429630
齐齐哈尔,2020-02-15T10:43:49.670Z,27,36,1,8,1581763429630
大庆,2020-02-15T10:43:49.670Z,17,19,1,1,1581763429630
黑河,2020-02-15T10:43:49.670Z,13,13,0,0,1581763429630
七台河,2020-02-15T10:43:49.670Z,12,16,0,4,1581763429630
牡丹江,2020-02-15T10:43:49.670Z,11,12,0,1,1581763429630
佳木斯,2020-02-15T10:43:49.670Z,8,15,0,7,1581763429630
鹤岗,2020-02-15T10:43:49.670Z,3,5,0,2,1581763429630
大兴安岭,2020-02-15T10:43:49.670Z,2,2,0,0,1581763429630
伊春,2020-02-15T10:43:49.670Z,1,1,0,0,1581763429630
四川,2020-02-15T10:43:49.670Z,350,470,1,119,1581763429630
成都,2020-02-15T10:43:49.670Z,94,139,1,44,1581763429630
甘孜州,2020-02-15T10:43:49.670Z,41,44,0,3,1581763429630
达州,2020-02-15T10:43:49.670Z,31,36,0,5,1581763429630
南充,2020-02-15T10:43:49.670Z,26,35,0,9,1581763429630
巴中,2020-02-15T10:43:49.670Z,23,24,0,1,1581763429630
