Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T05:39:56.498Z,48175,54406,1457,4774,1581745196498
武汉,2020-02-15T05:39:56.498Z,34289,37914,1123,2502,1581745196498
孝感,2020-02-15T05:39:56.498Z,2739,3114,62,313,1581745196498
黄冈,2020-02-15T05:39:56.498Z,2138,2817,68,611,1581745196498
荆州,2020-02-15T05:39:56.498Z,1254,1478,32,192,1581745196498
随州,2020-02-15T05:39:56.498Z,1117,1232,19,96,1581745196498
襄阳,2020-02-15T05:39:56.498Z,1025,1128,18,85,1581745196498
鄂州,2020-02-15T05:39:56.498Z,960,1192,33,199,1581745196498
宜昌,2020-02-15T05:39:56.498Z,799,906,15,92,1581745196498
黄石,2020-02-15T05:39:56.498Z,797,980,13,170,1581745196498
荆门,2020-02-15T05:39:56.498Z,762,902,28,112,1581745196498
咸宁,2020-02-15T05:39:56.498Z,705,840,8,127,1581745196498
十堰,2020-02-15T05:39:56.498Z,495,597,2,100,1581745196498
仙桃,2020-02-15T05:39:56.498Z,434,514,17,63,1581745196498
天门,2020-02-15T05:39:56.498Z,391,422,10,21,1581745196498
恩施州,2020-02-15T05:39:56.498Z,169,244,4,71,1581745196498
潜江,2020-02-15T05:39:56.498Z,99,116,5,12,1581745196498
神农架林区,2020-02-15T05:39:56.498Z,2,10,0,8,1581745196498
广东,2020-02-15T05:39:56.498Z,899,1294,2,393,1581745196498
深圳,2020-02-15T05:39:56.498Z,302,406,0,104,1581745196498
广州,2020-02-15T05:39:56.498Z,229,335,0,106,1581745196498
东莞,2020-02-15T05:39:56.498Z,73,81,1,7,1581745196498
珠海,2020-02-15T05:39:56.498Z,68,95,0,27,1581745196498
佛山,2020-02-15T05:39:56.498Z,62,84,0,22,1581745196498
惠州,2020-02-15T05:39:56.498Z,40,58,0,18,1581745196498
中山,2020-02-15T05:39:56.498Z,34,65,0,31,1581745196498
江门,2020-02-15T05:39:56.498Z,19,22,0,3,1581745196498
汕头,2020-02-15T05:39:56.498Z,16,25,0,9,1581745196498
湛江,2020-02-15T05:39:56.498Z,11,22,0,11,1581745196498
茂名,2020-02-15T05:39:56.498Z,10,13,0,3,1581745196498
肇庆,2020-02-15T05:39:56.498Z,9,17,1,7,1581745196498
梅州,2020-02-15T05:39:56.498Z,8,15,0,7,1581745196498
阳江,2020-02-15T05:39:56.498Z,8,13,0,5,1581745196498
韶关,2020-02-15T05:39:56.498Z,6,10,0,4,1581745196498
清远,2020-02-15T05:39:56.498Z,5,12,0,7,1581745196498
揭阳,2020-02-15T05:39:56.498Z,4,8,0,4,1581745196498
