Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-13T06:18:40.100Z,43455,48206,1310,3441,1581574720100
武汉,2020-02-13T06:18:40.100Z,30042,32994,1036,1916,1581574720100
孝感,2020-02-13T06:18:40.100Z,2618,2874,49,207,1581574720100
黄冈,2020-02-13T06:18:40.100Z,2177,2662,58,427,1581574720100
荆州,2020-02-13T06:18:40.100Z,1307,1431,23,101,1581574720100
随州,2020-02-13T06:18:40.100Z,1084,1160,14,62,1581574720100
襄阳,2020-02-13T06:18:40.100Z,1022,1101,13,66,1581574720100
鄂州,2020-02-13T06:18:40.100Z,940,1065,30,95,1581574720100
荆门,2020-02-13T06:18:40.100Z,811,927,24,92,1581574720100
黄石,2020-02-13T06:18:40.100Z,789,911,9,113,1581574720100
宜昌,2020-02-13T06:18:40.100Z,727,810,11,72,1581574720100
十堰,2020-02-13T06:18:40.100Z,480,562,1,81,1581574720100
咸宁,2020-02-13T06:18:40.100Z,443,534,7,84,1581574720100
仙桃,2020-02-13T06:18:40.100Z,416,480,16,48,1581574720100
天门,2020-02-13T06:18:40.100Z,339,362,10,13,1581574720100
恩施州,2020-02-13T06:18:40.100Z,177,229,4,48,1581574720100
潜江,2020-02-13T06:18:40.100Z,81,94,5,8,1581574720100
神农架林区,2020-02-13T06:18:40.100Z,2,10,0,8,1581574720100
广东,2020-02-13T06:18:40.100Z,950,1241,2,289,1581574720100
深圳,2020-02-13T06:18:40.100Z,309,391,0,82,1581574720100
广州,2020-02-13T06:18:40.100Z,256,327,0,71,1581574720100
珠海,2020-02-13T06:18:40.100Z,68,89,0,21,1581574720100
佛山,2020-02-13T06:18:40.100Z,64,81,0,17,1581574720100
东莞,2020-02-13T06:18:40.100Z,63,70,0,7,1581574720100
中山,2020-02-13T06:18:40.100Z,42,64,0,22,1581574720100
惠州,2020-02-13T06:18:40.100Z,48,55,0,7,1581574720100
汕头,2020-02-13T06:18:40.100Z,17,25,0,8,1581574720100
江门,2020-02-13T06:18:40.100Z,18,22,0,4,1581574720100
湛江,2020-02-13T06:18:40.100Z,12,21,0,9,1581574720100
肇庆,2020-02-13T06:18:40.100Z,8,16,1,7,1581574720100
阳江,2020-02-13T06:18:40.100Z,8,13,0,5,1581574720100
梅州,2020-02-13T06:18:40.100Z,8,13,0,5,1581574720100
茂名,2020-02-13T06:18:40.100Z,11,13,0,2,1581574720100
清远,2020-02-13T06:18:40.100Z,7,12,0,5,1581574720100
韶关,2020-02-13T06:18:40.100Z,5,8,0,3,1581574720100
揭阳,2020-02-13T06:18:40.100Z,5,8,0,3,1581574720100
汕尾,2020-02-13T06:18:40.100Z,4,5,0,1,1581574720100
潮州,2020-02-13T06:18:40.100Z,5,5,0,0,1581574720100
河源,2020-02-13T06:18:40.100Z,2,3,0,1,1581574720100
待明确地区,2020-02-13T06:18:40.100Z,0,0,1,9,1581574720100
河南,2020-02-13T06:18:40.100Z,887,1169,10,272,1581574720100
信阳,2020-02-13T06:18:40.100Z,191,240,0,49,1581574720100
南阳,2020-02-13T06:18:40.100Z,107,145,2,36,1581574720100
郑州,2020-02-13T06:18:40.100Z,94,141,0,47,1581574720100
驻马店,2020-02-13T06:18:40.100Z,95,134,0,39,1581574720100
商丘,2020-02-13T06:18:40.100Z,73,87,0,14,1581574720100
周口,2020-02-13T06:18:40.100Z,48,68,0,20,1581574720100
平顶山,2020-02-13T06:18:40.100Z,37,56,1,18,1581574720100
新乡,2020-02-13T06:18:40.100Z,46,54,1,7,1581574720100
安阳,2020-02-13T06:18:40.100Z,37,50,0,13,1581574720100
许昌,2020-02-13T06:18:40.100Z,31,34,0,3,1581574720100
漯河,2020-02-13T06:18:40.100Z,27,33,0,6,1581574720100
洛阳,2020-02-13T06:18:40.100Z,26,30,0,4,1581574720100
焦作,2020-02-13T06:18:40.100Z,23,29,1,5,1581574720100
