Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T12:42:21.557Z,48136,54406,1457,4813,1581770541557
武汉,2020-02-15T12:42:21.557Z,34260,37914,1123,2531,1581770541557
孝感,2020-02-15T12:42:21.557Z,2739,3114,62,313,1581770541557
黄冈,2020-02-15T12:42:21.557Z,2138,2817,68,611,1581770541557
荆州,2020-02-15T12:42:21.557Z,1253,1478,32,193,1581770541557
随州,2020-02-15T12:42:21.557Z,1117,1232,19,96,1581770541557
襄阳,2020-02-15T12:42:21.557Z,1025,1128,18,85,1581770541557
鄂州,2020-02-15T12:42:21.557Z,960,1192,33,199,1581770541557
宜昌,2020-02-15T12:42:21.557Z,799,906,15,92,1581770541557
黄石,2020-02-15T12:42:21.557Z,789,980,13,178,1581770541557
荆门,2020-02-15T12:42:21.557Z,762,902,28,112,1581770541557
咸宁,2020-02-15T12:42:21.557Z,705,840,8,127,1581770541557
十堰,2020-02-15T12:42:21.557Z,494,597,2,101,1581770541557
仙桃,2020-02-15T12:42:21.557Z,434,514,17,63,1581770541557
天门,2020-02-15T12:42:21.557Z,391,422,10,21,1581770541557
恩施州,2020-02-15T12:42:21.557Z,169,244,4,71,1581770541557
潜江,2020-02-15T12:42:21.557Z,99,116,5,12,1581770541557
神农架林区,2020-02-15T12:42:21.557Z,2,10,0,8,1581770541557
广东,2020-02-15T12:42:21.557Z,883,1294,2,409,1581770541557
深圳,2020-02-15T12:42:21.557Z,291,406,0,115,1581770541557
广州,2020-02-15T12:42:21.557Z,229,335,0,106,1581770541557
东莞,2020-02-15T12:42:21.557Z,73,81,1,7,1581770541557
佛山,2020-02-15T12:42:21.557Z,62,84,0,22,1581770541557
珠海,2020-02-15T12:42:21.557Z,61,95,0,34,1581770541557
中山,2020-02-15T12:42:21.557Z,34,65,0,31,1581770541557
惠州,2020-02-15T12:42:21.557Z,32,58,0,26,1581770541557
江门,2020-02-15T12:42:21.557Z,19,22,0,3,1581770541557
汕头,2020-02-15T12:42:21.557Z,14,25,0,11,1581770541557
湛江,2020-02-15T12:42:21.557Z,11,22,0,11,1581770541557
茂名,2020-02-15T12:42:21.557Z,10,13,0,3,1581770541557
肇庆,2020-02-15T12:42:21.557Z,8,17,1,8,1581770541557
梅州,2020-02-15T12:42:21.557Z,8,15,0,7,1581770541557
阳江,2020-02-15T12:42:21.557Z,6,13,0,7,1581770541557
韶关,2020-02-15T12:42:21.557Z,6,10,0,4,1581770541557
清远,2020-02-15T12:42:21.557Z,5,12,0,7,1581770541557
揭阳,2020-02-15T12:42:21.557Z,4,8,0,4,1581770541557
汕尾,2020-02-15T12:42:21.557Z,4,5,0,1,1581770541557
潮州,2020-02-15T12:42:21.557Z,4,5,0,1,1581770541557
河源,2020-02-15T12:42:21.557Z,2,3,0,1,1581770541557
河南,2020-02-15T12:42:21.557Z,808,1212,13,391,1581770541557
信阳,2020-02-15T12:42:21.557Z,186,252,2,64,1581770541557
南阳,2020-02-15T12:42:21.557Z,96,150,2,52,1581770541557
驻马店,2020-02-15T12:42:21.557Z,79,138,0,59,1581770541557
郑州,2020-02-15T12:42:21.557Z,78,144,0,66,1581770541557
商丘,2020-02-15T12:42:21.557Z,58,90,2,30,1581770541557
周口,2020-02-15T12:42:21.557Z,45,70,0,25,1581770541557
新乡,2020-02-15T12:42:21.557Z,43,55,2,10,1581770541557
平顶山,2020-02-15T12:42:21.557Z,37,58,1,20,1581770541557
安阳,2020-02-15T12:42:21.557Z,33,51,0,18,1581770541557
许昌,2020-02-15T12:42:21.557Z,30,37,0,7,1581770541557
漯河,2020-02-15T12:42:21.557Z,25,34,0,9,1581770541557
焦作,2020-02-15T12:42:21.557Z,23,30,1,6,1581770541557
洛阳,2020-02-15T12:42:21.557Z,22,31,0,9,1581770541557
开封,2020-02-15T12:42:21.557Z,19,25,0,6,1581770541557
鹤壁,2020-02-15T12:42:21.557Z,15,19,0,4,1581770541557
濮阳,2020-02-15T12:42:21.557Z,15,17,0,2,1581770541557
济源,2020-02-15T12:42:21.557Z,4,4,0,0,1581770541557
三门峡,2020-02-15T12:42:21.557Z,3,7,0,4,1581770541557
待明确地区,2020-02-15T12:42:21.557Z,0,0,3,0,1581770541557
浙江,2020-02-15T12:42:21.557Z,734,1162,0,428,1581770541557
温州,2020-02-15T12:42:21.557Z,330,499,0,169,1581770541557
宁波,2020-02-15T12:42:21.557Z,108,154,0,46,1581770541557
杭州,2020-02-15T12:42:21.557Z,93,166,0,73,1581770541557
台州,2020-02-15T12:42:21.557Z,85,145,0,60,1581770541557
嘉兴,2020-02-15T12:42:21.557Z,32,43,0,11,1581770541557
金华,2020-02-15T12:42:21.557Z,31,55,0,24,1581770541557
