Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T11:14:42.841Z,48156,54406,1457,4793,1581765282801
武汉,2020-02-15T11:14:42.841Z,34272,37914,1123,2519,1581765282801
孝感,2020-02-15T11:14:42.841Z,2739,3114,62,313,1581765282801
黄冈,2020-02-15T11:14:42.841Z,2138,2817,68,611,1581765282801
荆州,2020-02-15T11:14:42.841Z,1253,1478,32,193,1581765282801
随州,2020-02-15T11:14:42.841Z,1117,1232,19,96,1581765282801
襄阳,2020-02-15T11:14:42.841Z,1025,1128,18,85,1581765282801
鄂州,2020-02-15T11:14:42.841Z,960,1192,33,199,1581765282801
宜昌,2020-02-15T11:14:42.841Z,799,906,15,92,1581765282801
黄石,2020-02-15T11:14:42.841Z,797,980,13,170,1581765282801
荆门,2020-02-15T11:14:42.841Z,762,902,28,112,1581765282801
咸宁,2020-02-15T11:14:42.841Z,705,840,8,127,1581765282801
十堰,2020-02-15T11:14:42.841Z,494,597,2,101,1581765282801
仙桃,2020-02-15T11:14:42.841Z,434,514,17,63,1581765282801
天门,2020-02-15T11:14:42.841Z,391,422,10,21,1581765282801
恩施州,2020-02-15T11:14:42.841Z,169,244,4,71,1581765282801
潜江,2020-02-15T11:14:42.841Z,99,116,5,12,1581765282801
神农架林区,2020-02-15T11:14:42.841Z,2,10,0,8,1581765282801
广东,2020-02-15T11:14:42.841Z,883,1294,2,409,1581765282801
深圳,2020-02-15T11:14:42.841Z,291,406,0,115,1581765282801
广州,2020-02-15T11:14:42.841Z,229,335,0,106,1581765282801
东莞,2020-02-15T11:14:42.841Z,73,81,1,7,1581765282801
佛山,2020-02-15T11:14:42.841Z,62,84,0,22,1581765282801
珠海,2020-02-15T11:14:42.841Z,61,95,0,34,1581765282801
中山,2020-02-15T11:14:42.841Z,34,65,0,31,1581765282801
惠州,2020-02-15T11:14:42.841Z,32,58,0,26,1581765282801
江门,2020-02-15T11:14:42.841Z,19,22,0,3,1581765282801
汕头,2020-02-15T11:14:42.841Z,14,25,0,11,1581765282801
湛江,2020-02-15T11:14:42.841Z,11,22,0,11,1581765282801
茂名,2020-02-15T11:14:42.841Z,10,13,0,3,1581765282801
肇庆,2020-02-15T11:14:42.841Z,8,17,1,8,1581765282801
梅州,2020-02-15T11:14:42.841Z,8,15,0,7,1581765282801
阳江,2020-02-15T11:14:42.841Z,6,13,0,7,1581765282801
韶关,2020-02-15T11:14:42.841Z,6,10,0,4,1581765282801
清远,2020-02-15T11:14:42.841Z,5,12,0,7,1581765282801
揭阳,2020-02-15T11:14:42.841Z,4,8,0,4,1581765282801
汕尾,2020-02-15T11:14:42.841Z,4,5,0,1,1581765282801
潮州,2020-02-15T11:14:42.841Z,4,5,0,1,1581765282801
河源,2020-02-15T11:14:42.841Z,2,3,0,1,1581765282801
河南,2020-02-15T11:14:42.841Z,809,1212,13,390,1581765282801
信阳,2020-02-15T11:14:42.841Z,187,252,1,64,1581765282801
南阳,2020-02-15T11:14:42.841Z,96,150,2,52,1581765282801
驻马店,2020-02-15T11:14:42.841Z,79,138,0,59,1581765282801
郑州,2020-02-15T11:14:42.841Z,78,144,0,66,1581765282801
商丘,2020-02-15T11:14:42.841Z,58,90,2,30,1581765282801
周口,2020-02-15T11:14:42.841Z,45,70,0,25,1581765282801
新乡,2020-02-15T11:14:42.841Z,43,55,2,10,1581765282801
平顶山,2020-02-15T11:14:42.841Z,38,58,1,19,1581765282801
安阳,2020-02-15T11:14:42.841Z,33,51,0,18,1581765282801
许昌,2020-02-15T11:14:42.841Z,30,37,0,7,1581765282801
漯河,2020-02-15T11:14:42.841Z,25,34,0,9,1581765282801
焦作,2020-02-15T11:14:42.841Z,23,30,1,6,1581765282801
洛阳,2020-02-15T11:14:42.841Z,22,31,0,9,1581765282801
开封,2020-02-15T11:14:42.841Z,19,25,0,6,1581765282801
鹤壁,2020-02-15T11:14:42.841Z,15,19,0,4,1581765282801
濮阳,2020-02-15T11:14:42.841Z,15,17,0,2,1581765282801
济源,2020-02-15T11:14:42.841Z,4,4,0,0,1581765282801
三门峡,2020-02-15T11:14:42.841Z,3,7,0,4,1581765282801
待明确地区,2020-02-15T11:14:42.841Z,0,0,4,0,1581765282801
浙江,2020-02-15T11:14:42.841Z,734,1162,0,428,1581765282801
温州,2020-02-15T11:14:42.841Z,330,499,0,169,1581765282801
宁波,2020-02-15T11:14:42.841Z,108,154,0,46,1581765282801
杭州,2020-02-15T11:14:42.841Z,93,166,0,73,1581765282801
台州,2020-02-15T11:14:42.841Z,85,145,0,60,1581765282801
嘉兴,2020-02-15T11:14:42.841Z,32,43,0,11,1581765282801
金华,2020-02-15T11:14:42.841Z,31,55,0,24,1581765282801
绍兴,2020-02-15T11:14:42.841Z,25,42,0,17,1581765282801
衢州,2020-02-15T11:14:42.841Z,12,21,0,9,1581765282801
丽水,2020-02-15T11:14:42.841Z,7,17,0,10,1581765282801
湖州,2020-02-15T11:14:42.841Z,6,10,0,4,1581765282801
舟山,2020-02-15T11:14:42.841Z,5,10,0,5,1581765282801
安徽,2020-02-15T11:14:42.841Z,727,950,6,217,1581765282801
蚌埠,2020-02-15T11:14:42.841Z,141,153,5,7,1581765282801
合肥,2020-02-15T11:14:42.841Z,129,168,1,38,1581765282801
阜阳,2020-02-15T11:14:42.841Z,122,150,0,28,1581765282801
亳州,2020-02-15T11:14:42.841Z,82,107,0,25,1581765282801
安庆,2020-02-15T11:14:42.841Z,49,82,0,33,1581765282801
六安,2020-02-15T11:14:42.841Z,48,63,0,15,1581765282801
宿州,2020-02-15T11:14:42.841Z,28,39,0,11,1581765282801
马鞍山,2020-02-15T11:14:42.841Z,25,35,0,10,1581765282801
芜湖,2020-02-15T11:14:42.841Z,20,31,0,11,1581765282801
淮北,2020-02-15T11:14:42.841Z,20,26,0,6,1581765282801
铜陵,2020-02-15T11:14:42.841Z,18,28,0,10,1581765282801
淮南,2020-02-15T11:14:42.841Z,16,23,0,7,1581765282801
池州,2020-02-15T11:14:42.841Z,13,17,0,4,1581765282801
黄山,2020-02-15T11:14:42.841Z,8,9,0,1,1581765282801
滁州,2020-02-15T11:14:42.841Z,6,13,0,7,1581765282801
宣城,2020-02-15T11:14:42.841Z,2,6,0,4,1581765282801
江西,2020-02-15T11:14:42.841Z,702,913,1,210,1581765282801
南昌,2020-02-15T11:14:42.841Z,150,222,0,72,1581765282801
上饶,2020-02-15T11:14:42.841Z,103,123,0,20,1581765282801
九江,2020-02-15T11:14:42.841Z,97,115,0,18,1581765282801
新余,2020-02-15T11:14:42.841Z,93,127,0,34,1581765282801
宜春,2020-02-15T11:14:42.841Z,82,102,0,20,1581765282801
赣州,2020-02-15T11:14:42.841Z,61,76,1,14,1581765282801
抚州,2020-02-15T11:14:42.841Z,55,72,0,17,1581765282801
萍乡,2020-02-15T11:14:42.841Z,28,32,0,4,1581765282801
鹰潭,2020-02-15T11:14:42.841Z,15,18,0,3,1581765282801
吉安,2020-02-15T11:14:42.841Z,13,20,0,7,1581765282801
景德镇,2020-02-15T11:14:42.841Z,4,5,0,1,1581765282801
赣江新区,2020-02-15T11:14:42.841Z,1,1,0,0,1581765282801
湖南,2020-02-15T11:14:42.841Z,582,1001,2,417,1581765282801
长沙,2020-02-15T11:14:42.841Z,168,241,0,73,1581765282801
岳阳,2020-02-15T11:14:42.841Z,101,153,1,51,1581765282801
株洲,2020-02-15T11:14:42.841Z,55,78,0,23,1581765282801
常德,2020-02-15T11:14:42.841Z,50,78,0,28,1581765282801
娄底,2020-02-15T11:14:42.841Z,46,75,0,29,1581765282801
邵阳,2020-02-15T11:14:42.841Z,40,100,1,59,1581765282801
益阳,2020-02-15T11:14:42.841Z,34,59,0,25,1581765282801
湘潭,2020-02-15T11:14:42.841Z,21,35,0,14,1581765282801
衡阳,2020-02-15T11:14:42.841Z,19,47,0,28,1581765282801
郴州,2020-02-15T11:14:42.841Z,17,39,0,22,1581765282801
永州,2020-02-15T11:14:42.841Z,16,43,0,27,1581765282801
怀化,2020-02-15T11:14:42.841Z,12,40,0,28,1581765282801
湘西自治州,2020-02-15T11:14:42.841Z,2,8,0,6,1581765282801
张家界,2020-02-15T11:14:42.841Z,1,5,0,4,1581765282801
江苏,2020-02-15T11:14:42.841Z,422,604,0,182,1581765282801
南京,2020-02-15T11:14:42.841Z,64,91,0,27,1581765282801
苏州,2020-02-15T11:14:42.841Z,60,86,0,26,1581765282801
徐州,2020-02-15T11:14:42.841Z,54,77,0,23,1581765282801
淮安,2020-02-15T11:14:42.841Z,49,60,0,11,1581765282801
无锡,2020-02-15T11:14:42.841Z,34,52,0,18,1581765282801
连云港,2020-02-15T11:14:42.841Z,34,46,0,12,1581765282801
常州,2020-02-15T11:14:42.841Z,32,43,0,11,1581765282801
南通,2020-02-15T11:14:42.841Z,27,40,0,13,1581765282801
泰州,2020-02-15T11:14:42.841Z,21,37,0,16,1581765282801
盐城,2020-02-15T11:14:42.841Z,18,27,0,9,1581765282801
扬州,2020-02-15T11:14:42.841Z,14,21,0,7,1581765282801
镇江,2020-02-15T11:14:42.841Z,10,12,0,2,1581765282801
宿迁,2020-02-15T11:14:42.841Z,5,12,0,7,1581765282801
山东,2020-02-15T11:14:42.841Z,374,532,2,156,1581765282801
济南,2020-02-15T11:14:42.841Z,36,47,0,11,1581765282801
青岛,2020-02-15T11:14:42.841Z,34,56,1,21,1581765282801
潍坊,2020-02-15T11:14:42.841Z,34,42,0,8,1581765282801
烟台,2020-02-15T11:14:42.841Z,33,46,0,13,1581765282801
济宁,2020-02-15T11:14:42.841Z,31,49,0,18,1581765282801
威海,2020-02-15T11:14:42.841Z,29,38,0,9,1581765282801
聊城,2020-02-15T11:14:42.841Z,28,38,0,10,1581765282801
德州,2020-02-15T11:14:42.841Z,28,36,1,7,1581765282801
泰安,2020-02-15T11:14:42.841Z,27,32,0,5,1581765282801
淄博,2020-02-15T11:14:42.841Z,25,29,0,4,1581765282801
临沂,2020-02-15T11:14:42.841Z,22,47,0,25,1581765282801
枣庄,2020-02-15T11:14:42.841Z,20,24,0,4,1581765282801
日照,2020-02-15T11:14:42.841Z,14,16,0,2,1581765282801
菏泽,2020-02-15T11:14:42.841Z,8,18,0,10,1581765282801
滨州,2020-02-15T11:14:42.841Z,5,14,0,9,1581765282801
重庆,2020-02-15T11:14:42.841Z,367,538,5,166,1581765282801
万州区,2020-02-15T11:14:42.841Z,67,104,3,34,1581765282801
江北区,2020-02-15T11:14:42.841Z,23,26,0,3,1581765282801
綦江区,2020-02-15T11:14:42.841Z,20,23,0,3,1581765282801
合川区,2020-02-15T11:14:42.841Z,18,23,0,5,1581765282801
九龙坡区,2020-02-15T11:14:42.841Z,16,20,1,3,1581765282801
垫江县,2020-02-15T11:14:42.841Z,16,20,0,4,1581765282801
渝中区,2020-02-15T11:14:42.841Z,15,20,0,5,1581765282801
奉节县,2020-02-15T11:14:42.841Z,15,20,0,5,1581765282801
潼南区,2020-02-15T11:14:42.841Z,15,17,0,2,1581765282801
两江新区,2020-02-15T11:14:42.841Z,13,17,0,4,1581765282801
南岸区,2020-02-15T11:14:42.841Z,13,15,0,2,1581765282801
大足区,2020-02-15T11:14:42.841Z,13,14,0,1,1581765282801
忠县,2020-02-15T11:14:42.841Z,10,19,0,9,1581765282801
长寿区,2020-02-15T11:14:42.841Z,10,18,0,8,1581765282801
渝北区,2020-02-15T11:14:42.841Z,10,15,0,5,1581765282801
石柱县,2020-02-15T11:14:42.841Z,9,14,0,5,1581765282801
荣昌区,2020-02-15T11:14:42.841Z,9,9,0,0,1581765282801
丰都县,2020-02-15T11:14:42.841Z,8,10,0,2,1581765282801
铜梁区,2020-02-15T11:14:42.841Z,8,9,0,1,1581765282801
沙坪坝区,2020-02-15T11:14:42.841Z,8,8,0,0,1581765282801
云阳县,2020-02-15T11:14:42.841Z,7,23,0,16,1581765282801
开州区,2020-02-15T11:14:42.841Z,7,20,1,12,1581765282801
巫溪县,2020-02-15T11:14:42.841Z,5,13,0,8,1581765282801
巫山县,2020-02-15T11:14:42.841Z,5,10,0,5,1581765282801
巴南区,2020-02-15T11:14:42.841Z,5,6,0,1,1581765282801
璧山区,2020-02-15T11:14:42.841Z,4,8,0,4,1581765282801
大渡口区,2020-02-15T11:14:42.841Z,3,7,0,4,1581765282801
永川区,2020-02-15T11:14:42.841Z,3,5,0,2,1581765282801
高新区,2020-02-15T11:14:42.841Z,3,4,0,1,1581765282801
江津区,2020-02-15T11:14:42.841Z,2,4,0,2,1581765282801
涪陵区,2020-02-15T11:14:42.841Z,2,3,0,1,1581765282801
彭水县,2020-02-15T11:14:42.841Z,2,2,0,0,1581765282801
武隆区,2020-02-15T11:14:42.841Z,1,1,0,0,1581765282801
酉阳县,2020-02-15T11:14:42.841Z,1,1,0,0,1581765282801
万盛经开区,2020-02-15T11:14:42.841Z,1,1,0,0,1581765282801
梁平区,2020-02-15T11:14:42.841Z,0,4,0,4,1581765282801
黔江区,2020-02-15T11:14:42.841Z,0,2,0,2,1581765282801
城口县,2020-02-15T11:14:42.841Z,0,2,0,2,1581765282801
秀山县,2020-02-15T11:14:42.841Z,0,1,0,1,1581765282801
四川,2020-02-15T11:14:42.841Z,350,470,1,119,1581765282801
成都,2020-02-15T11:14:42.841Z,94,139,1,44,1581765282801
甘孜州,2020-02-15T11:14:42.841Z,41,44,0,3,1581765282801
达州,2020-02-15T11:14:42.841Z,31,36,0,5,1581765282801
南充,2020-02-15T11:14:42.841Z,26,35,0,9,1581765282801
巴中,2020-02-15T11:14:42.841Z,23,24,0,1,1581765282801
广安,2020-02-15T11:14:42.841Z,22,30,0,8,1581765282801
绵阳,2020-02-15T11:14:42.841Z,17,22,0,5,1581765282801
内江,2020-02-15T11:14:42.841Z,17,22,0,5,1581765282801
泸州,2020-02-15T11:14:42.841Z,17,19,0,2,1581765282801
德阳,2020-02-15T11:14:42.841Z,17,17,0,0,1581765282801
