Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T03:38:19.532Z,48175,54406,1457,4774,1581737899532
武汉,2020-02-15T03:38:19.532Z,34289,37914,1123,2502,1581737899532
孝感,2020-02-15T03:38:19.532Z,2739,3114,62,313,1581737899532
黄冈,2020-02-15T03:38:19.532Z,2138,2817,68,611,1581737899532
荆州,2020-02-15T03:38:19.532Z,1254,1478,32,192,1581737899532
随州,2020-02-15T03:38:19.532Z,1117,1232,19,96,1581737899532
襄阳,2020-02-15T03:38:19.532Z,1025,1128,18,85,1581737899532
鄂州,2020-02-15T03:38:19.532Z,960,1192,33,199,1581737899532
宜昌,2020-02-15T03:38:19.532Z,799,906,15,92,1581737899532
黄石,2020-02-15T03:38:19.532Z,797,980,13,170,1581737899532
荆门,2020-02-15T03:38:19.532Z,762,902,28,112,1581737899532
咸宁,2020-02-15T03:38:19.532Z,705,840,8,127,1581737899532
十堰,2020-02-15T03:38:19.532Z,495,597,2,100,1581737899532
仙桃,2020-02-15T03:38:19.532Z,434,514,17,63,1581737899532
天门,2020-02-15T03:38:19.532Z,391,422,10,21,1581737899532
恩施州,2020-02-15T03:38:19.532Z,169,244,4,71,1581737899532
潜江,2020-02-15T03:38:19.532Z,99,116,5,12,1581737899532
神农架林区,2020-02-15T03:38:19.532Z,2,10,0,8,1581737899532
广东,2020-02-15T03:38:19.532Z,900,1294,2,392,1581737899532
深圳,2020-02-15T03:38:19.532Z,302,406,0,104,1581737899532
广州,2020-02-15T03:38:19.532Z,242,335,0,93,1581737899532
东莞,2020-02-15T03:38:19.532Z,73,81,1,7,1581737899532
珠海,2020-02-15T03:38:19.532Z,68,95,0,27,1581737899532
佛山,2020-02-15T03:38:19.532Z,62,84,0,22,1581737899532
惠州,2020-02-15T03:38:19.532Z,40,58,0,18,1581737899532
中山,2020-02-15T03:38:19.532Z,34,65,0,31,1581737899532
江门,2020-02-15T03:38:19.532Z,18,22,0,4,1581737899532
汕头,2020-02-15T03:38:19.532Z,16,25,0,9,1581737899532
湛江,2020-02-15T03:38:19.532Z,11,22,0,11,1581737899532
茂名,2020-02-15T03:38:19.532Z,10,13,0,3,1581737899532
肇庆,2020-02-15T03:38:19.532Z,9,17,1,7,1581737899532
梅州,2020-02-15T03:38:19.532Z,8,15,0,7,1581737899532
阳江,2020-02-15T03:38:19.532Z,8,13,0,5,1581737899532
韶关,2020-02-15T03:38:19.532Z,7,10,0,3,1581737899532
清远,2020-02-15T03:38:19.532Z,5,12,0,7,1581737899532
揭阳,2020-02-15T03:38:19.532Z,4,8,0,4,1581737899532
汕尾,2020-02-15T03:38:19.532Z,4,5,0,1,1581737899532
潮州,2020-02-15T03:38:19.532Z,4,5,0,1,1581737899532
河源,2020-02-15T03:38:19.532Z,2,3,0,1,1581737899532
待明确地区,2020-02-15T03:38:19.532Z,0,0,0,27,1581737899532
河南,2020-02-15T03:38:19.532Z,828,1212,13,371,1581737899532
信阳,2020-02-15T03:38:19.532Z,187,252,1,64,1581737899532
南阳,2020-02-15T03:38:19.532Z,103,150,2,45,1581737899532
郑州,2020-02-15T03:38:19.532Z,80,144,0,64,1581737899532
驻马店,2020-02-15T03:38:19.532Z,79,138,0,59,1581737899532
商丘,2020-02-15T03:38:19.532Z,63,90,2,25,1581737899532
周口,2020-02-15T03:38:19.532Z,45,70,0,25,1581737899532
新乡,2020-02-15T03:38:19.532Z,43,55,2,10,1581737899532
平顶山,2020-02-15T03:38:19.532Z,38,58,1,19,1581737899532
安阳,2020-02-15T03:38:19.532Z,35,51,0,16,1581737899532
许昌,2020-02-15T03:38:19.532Z,31,37,0,6,1581737899532
漯河,2020-02-15T03:38:19.532Z,25,34,0,9,1581737899532
洛阳,2020-02-15T03:38:19.532Z,23,31,0,8,1581737899532
焦作,2020-02-15T03:38:19.532Z,23,30,1,6,1581737899532
开封,2020-02-15T03:38:19.532Z,19,25,0,6,1581737899532
濮阳,2020-02-15T03:38:19.532Z,16,17,0,1,1581737899532
鹤壁,2020-02-15T03:38:19.532Z,15,19,0,4,1581737899532
济源,2020-02-15T03:38:19.532Z,4,4,0,0,1581737899532
三门峡,2020-02-15T03:38:19.532Z,3,7,0,4,1581737899532
待明确地区,2020-02-15T03:38:19.532Z,0,0,4,0,1581737899532
浙江,2020-02-15T03:38:19.532Z,752,1162,0,410,1581737899532
温州,2020-02-15T03:38:19.532Z,340,499,0,159,1581737899532
宁波,2020-02-15T03:38:19.532Z,108,154,0,46,1581737899532
杭州,2020-02-15T03:38:19.532Z,93,166,0,73,1581737899532
台州,2020-02-15T03:38:19.532Z,92,145,0,53,1581737899532
嘉兴,2020-02-15T03:38:19.532Z,33,43,0,10,1581737899532
金华,2020-02-15T03:38:19.532Z,31,55,0,24,1581737899532
绍兴,2020-02-15T03:38:19.532Z,25,42,0,17,1581737899532
衢州,2020-02-15T03:38:19.532Z,12,21,0,9,1581737899532
丽水,2020-02-15T03:38:19.532Z,7,17,0,10,1581737899532
