Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-13T07:34:40.554Z,43455,48206,1310,3441,1581579280554
武汉,2020-02-13T07:34:40.554Z,30042,32994,1036,1916,1581579280554
孝感,2020-02-13T07:34:40.554Z,2618,2874,49,207,1581579280554
黄冈,2020-02-13T07:34:40.554Z,2177,2662,58,427,1581579280554
荆州,2020-02-13T07:34:40.554Z,1307,1431,23,101,1581579280554
随州,2020-02-13T07:34:40.554Z,1084,1160,14,62,1581579280554
襄阳,2020-02-13T07:34:40.554Z,1022,1101,13,66,1581579280554
鄂州,2020-02-13T07:34:40.554Z,940,1065,30,95,1581579280554
荆门,2020-02-13T07:34:40.554Z,811,927,24,92,1581579280554
黄石,2020-02-13T07:34:40.554Z,789,911,9,113,1581579280554
宜昌,2020-02-13T07:34:40.554Z,727,810,11,72,1581579280554
十堰,2020-02-13T07:34:40.554Z,480,562,1,81,1581579280554
咸宁,2020-02-13T07:34:40.554Z,443,534,7,84,1581579280554
仙桃,2020-02-13T07:34:40.554Z,416,480,16,48,1581579280554
天门,2020-02-13T07:34:40.554Z,339,362,10,13,1581579280554
恩施州,2020-02-13T07:34:40.554Z,177,229,4,48,1581579280554
潜江,2020-02-13T07:34:40.554Z,81,94,5,8,1581579280554
神农架林区,2020-02-13T07:34:40.554Z,2,10,0,8,1581579280554
广东,2020-02-13T07:34:40.554Z,950,1241,2,289,1581579280554
深圳,2020-02-13T07:34:40.554Z,309,391,0,82,1581579280554
广州,2020-02-13T07:34:40.554Z,256,327,0,71,1581579280554
珠海,2020-02-13T07:34:40.554Z,68,89,0,21,1581579280554
佛山,2020-02-13T07:34:40.554Z,64,81,0,17,1581579280554
东莞,2020-02-13T07:34:40.554Z,63,70,0,7,1581579280554
中山,2020-02-13T07:34:40.554Z,42,64,0,22,1581579280554
惠州,2020-02-13T07:34:40.554Z,48,55,0,7,1581579280554
汕头,2020-02-13T07:34:40.554Z,17,25,0,8,1581579280554
江门,2020-02-13T07:34:40.554Z,18,22,0,4,1581579280554
湛江,2020-02-13T07:34:40.554Z,12,21,0,9,1581579280554
肇庆,2020-02-13T07:34:40.554Z,8,16,1,7,1581579280554
阳江,2020-02-13T07:34:40.554Z,8,13,0,5,1581579280554
梅州,2020-02-13T07:34:40.554Z,8,13,0,5,1581579280554
茂名,2020-02-13T07:34:40.554Z,11,13,0,2,1581579280554
清远,2020-02-13T07:34:40.554Z,7,12,0,5,1581579280554
韶关,2020-02-13T07:34:40.554Z,5,8,0,3,1581579280554
揭阳,2020-02-13T07:34:40.554Z,5,8,0,3,1581579280554
