Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T13:43:05.429Z,48132,54406,1457,4817,1581774185429
武汉,2020-02-15T13:43:05.429Z,34256,37914,1123,2535,1581774185429
孝感,2020-02-15T13:43:05.429Z,2739,3114,62,313,1581774185429
黄冈,2020-02-15T13:43:05.429Z,2138,2817,68,611,1581774185429
荆州,2020-02-15T13:43:05.429Z,1253,1478,32,193,1581774185429
随州,2020-02-15T13:43:05.429Z,1117,1232,19,96,1581774185429
襄阳,2020-02-15T13:43:05.429Z,1025,1128,18,85,1581774185429
鄂州,2020-02-15T13:43:05.429Z,960,1192,33,199,1581774185429
宜昌,2020-02-15T13:43:05.429Z,799,906,15,92,1581774185429
黄石,2020-02-15T13:43:05.429Z,789,980,13,178,1581774185429
荆门,2020-02-15T13:43:05.429Z,762,902,28,112,1581774185429
咸宁,2020-02-15T13:43:05.429Z,705,840,8,127,1581774185429
十堰,2020-02-15T13:43:05.429Z,494,597,2,101,1581774185429
仙桃,2020-02-15T13:43:05.429Z,434,514,17,63,1581774185429
天门,2020-02-15T13:43:05.429Z,391,422,10,21,1581774185429
恩施州,2020-02-15T13:43:05.429Z,169,244,4,71,1581774185429
潜江,2020-02-15T13:43:05.429Z,99,116,5,12,1581774185429
神农架林区,2020-02-15T13:43:05.429Z,2,10,0,8,1581774185429
广东,2020-02-15T13:43:05.429Z,883,1294,2,409,1581774185429
深圳,2020-02-15T13:43:05.429Z,291,406,0,115,1581774185429
广州,2020-02-15T13:43:05.429Z,229,335,0,106,1581774185429
东莞,2020-02-15T13:43:05.429Z,73,81,1,7,1581774185429
佛山,2020-02-15T13:43:05.429Z,62,84,0,22,1581774185429
珠海,2020-02-15T13:43:05.429Z,61,95,0,34,1581774185429
中山,2020-02-15T13:43:05.429Z,34,65,0,31,1581774185429
惠州,2020-02-15T13:43:05.429Z,32,58,0,26,1581774185429
江门,2020-02-15T13:43:05.429Z,19,22,0,3,1581774185429
汕头,2020-02-15T13:43:05.429Z,14,25,0,11,1581774185429
湛江,2020-02-15T13:43:05.429Z,11,22,0,11,1581774185429
茂名,2020-02-15T13:43:05.429Z,10,13,0,3,1581774185429
肇庆,2020-02-15T13:43:05.429Z,8,17,1,8,1581774185429
梅州,2020-02-15T13:43:05.429Z,8,15,0,7,1581774185429
