Name,Dt,ExistingConfirmedDiagnosis,CumulativeDiagnosis,Deaths,Cures,DateMS
湖北,2020-02-15T10:13:23.565Z,48157,54406,1457,4792,1581761603565
武汉,2020-02-15T10:13:23.565Z,34272,37914,1123,2519,1581761603565
孝感,2020-02-15T10:13:23.565Z,2739,3114,62,313,1581761603565
黄冈,2020-02-15T10:13:23.565Z,2138,2817,68,611,1581761603565
荆州,2020-02-15T10:13:23.565Z,1253,1478,32,193,1581761603565
随州,2020-02-15T10:13:23.565Z,1117,1232,19,96,1581761603565
襄阳,2020-02-15T10:13:23.565Z,1025,1128,18,85,1581761603565
鄂州,2020-02-15T10:13:23.565Z,960,1192,33,199,1581761603565
宜昌,2020-02-15T10:13:23.565Z,799,906,15,92,1581761603565
黄石,2020-02-15T10:13:23.565Z,797,980,13,170,1581761603565
荆门,2020-02-15T10:13:23.565Z,762,902,28,112,1581761603565
咸宁,2020-02-15T10:13:23.565Z,705,840,8,127,1581761603565
十堰,2020-02-15T10:13:23.565Z,495,597,2,100,1581761603565
仙桃,2020-02-15T10:13:23.565Z,434,514,17,63,1581761603565
天门,2020-02-15T10:13:23.565Z,391,422,10,21,1581761603565
恩施州,2020-02-15T10:13:23.565Z,169,244,4,71,1581761603565
潜江,2020-02-15T10:13:23.565Z,99,116,5,12,1581761603565
神农架林区,2020-02-15T10:13:23.565Z,2,10,0,8,1581761603565
广东,2020-02-15T10:13:23.565Z,892,1294,2,400,1581761603565
深圳,2020-02-15T10:13:23.565Z,291,406,0,115,1581761603565
广州,2020-02-15T10:13:23.565Z,229,335,0,106,1581761603565
东莞,2020-02-15T10:13:23.565Z,73,81,1,7,1581761603565
佛山,2020-02-15T10:13:23.565Z,62,84,0,22,1581761603565
珠海,2020-02-15T10:13:23.565Z,61,95,0,34,1581761603565
惠州,2020-02-15T10:13:23.565Z,40,58,0,18,1581761603565
中山,2020-02-15T10:13:23.565Z,34,65,0,31,1581761603565
江门,2020-02-15T10:13:23.565Z,19,22,0,3,1581761603565
汕头,2020-02-15T10:13:23.565Z,14,25,0,11,1581761603565
湛江,2020-02-15T10:13:23.565Z,11,22,0,11,1581761603565
茂名,2020-02-15T10:13:23.565Z,10,13,0,3,1581761603565
肇庆,2020-02-15T10:13:23.565Z,9,17,1,7,1581761603565
梅州,2020-02-15T10:13:23.565Z,8,15,0,7,1581761603565
阳江,2020-02-15T10:13:23.565Z,6,13,0,7,1581761603565
韶关,2020-02-15T10:13:23.565Z,6,10,0,4,1581761603565
清远,2020-02-15T10:13:23.565Z,5,12,0,7,1581761603565
揭阳,2020-02-15T10:13:23.565Z,4,8,0,4,1581761603565
汕尾,2020-02-15T10:13:23.565Z,4,5,0,1,1581761603565
潮州,2020-02-15T10:13:23.565Z,4,5,0,1,1581761603565
河源,2020-02-15T10:13:23.565Z,2,3,0,1,1581761603565
河南,2020-02-15T10:13:23.565Z,811,1212,13,388,1581761603565
信阳,2020-02-15T10:13:23.565Z,187,252,1,64,1581761603565
