Name,Conffirmed,Deaths,Cures
湖北,29631,871,1854
武汉,16902,681,1046
孝感,2541,33,81
黄冈,2252,45,215
随州,1049,10,23
荆州,1045,15,46
襄阳,1019,9,42
黄石,805,3,67
宜昌,749,8,43
鄂州,725,24,48
荆门,641,20,63
咸宁,507,4,44
十堰,481,0,46
仙桃,416,7,41
天门,217,10,10
恩施州,187,0,30
潜江,85,2,3
神农架林区,10,0,6
广东,1159,1,167
深圳,369,369,369
广州,314,314,314
珠海,85,85,85
佛山,70,70,70
东莞,60,60,60
中山,56,56,56
惠州,52,52,52
汕头,25,25,25
湛江,21,21,21
江门,20,20,20
肇庆,15,15,15
阳江,13,13,13
梅州,13,13,13
清远,10,10,10
茂名,10,10,10
揭阳,7,7,7
韶关,6,6,6
汕尾,5,5,5
潮州,5,5,5
河源,3,3,3
待明确地区,0,0,0
浙江,1092,0,242
温州,464,464,464
杭州,155,155,155
宁波,149,149,149
台州,141,141,141
金华,53,53,53
绍兴,41,41,41
嘉兴,40,40,40
丽水,17,17,17
衢州,15,15,15
湖州,10,10,10
舟山,7,7,7
河南,1073,6,191
信阳,220,220,220
南阳,134,134,134
郑州,130,130,130
驻马店,123,123,123
商丘,83,83,83
周口,65,65,65
平顶山,52,52,52
新乡,46,46,46
安阳,45,45,45
许昌,31,31,31
漯河,30,30,30
洛阳,27,27,27
焦作,25,25,25
开封,24,24,24
鹤壁,17,17,17
濮阳,10,10,10
三门峡,7,7,7
济源,4,4,4
待明确地区,0,0,0
湖南,879,1,208
长沙,213,213,213
岳阳,124,124,124
邵阳,89,89,89
常德,72,72,72
娄底,66,66,66
株洲,61,61,61
益阳,53,53,53
衡阳,45,45,45
永州,41,41,41
怀化,39,39,39
郴州,32,32,32
湘潭,31,31,31
湘西自治州,8,8,8
张家界,5,5,5
安徽,830,3,88
合肥,147,147,147
蚌埠,126,126,126
阜阳,125,125,125
亳州,92,92,92
安庆,78,78,78
六安,57,57,57
马鞍山,31,31,31
宿州,31,31,31
芜湖,30,30,30
铜陵,25,25,25
淮北,23,23,23
淮南,23,23,23
池州,15,15,15
滁州,12,12,12
黄山,9,9,9
宣城,6,6,6
江西,771,1,105
南昌,189,189,189
新余,105,105,105
上饶,103,103,103
九江,101,101,101
宜春,77,77,77
赣州,71,71,71
抚州,64,64,64
萍乡,25,25,25
吉安,18,18,18
鹰潭,12,12,12
景德镇,5,5,5
赣江新区,1,1,1
江苏,492,0,81
南京,78,78,78
苏州,77,77,77
徐州,60,60,60
淮安,46,46,46
无锡,41,41,41
连云港,35,35,35
南通,33,33,33
常州,31,31,31
泰州,31,31,31
扬州,18,18,18
盐城,18,18,18
镇江,12,12,12
宿迁,12,12,12
重庆,473,2,66
万州区,98,98,98
江北区,24,24,24
九龙坡区,20,20,20
垫江县,20,20,20
云阳县,20,20,20
渝中区,20,20,20
合川区,18,18,18
开州区,18,18,18
忠县,18,18,18
两江新区,16,16,16
长寿区,15,15,15
綦江区,15,15,15
奉节县,14,14,14
渝北区,13,13,13
潼南区,13,13,13
大足区,13,13,13
巫溪县,12,12,12
石柱县,12,12,12
丰都县,9,9,9
巫山县,9,9,9
璧山区,8,8,8
铜梁区,8,8,8
南岸区,8,8,8
荣昌区,8,8,8
大渡口区,7,7,7
永川区,5,5,5
巴南区,5,5,5
江津区,4,4,4
梁平区,4,4,4
高新区,4,4,4
涪陵区,3,3,3
城口县,2,2,2
黔江区,2,2,2
沙坪坝区,2,2,2
彭水县,2,2,2
秀山县,1,1,1
武隆区,1,1,1
酉阳县,1,1,1
万盛经开区,1,1,1
山东,466,1,66
青岛,53,53,53
济南,44,44,44
临沂,42,42,42
烟台,39,39,39
济宁,39,39,39
潍坊,37,37,37
威海,35,35,35
聊城,34,34,34
德州,32,32,32
泰安,31,31,31
枣庄,21,21,21
淄博,17,17,17
菏泽,16,16,16
日照,15,15,15
滨州,11,11,11
四川,405,1,80
成都,123,123,123
南充,33,33,33
广安,28,28,28
达州,28,28,28
甘孜州,23,23,23
巴中,22,22,22
绵阳,21,21,21
泸州,17,17,17
内江,17,17,17
德阳,16,16,16
攀枝花,13,13,13
遂宁,10,10,10
凉山州,10,10,10
自贡,9,9,9
宜宾,9,9,9
眉山,7,7,7
雅安,6,6,6
广元,6,6,6
乐山,3,3,3
资阳,3,3,3
阿坝州,1,1,1
北京,337,2,44
朝阳区,56,56,56
海淀区,54,54,54
西城区,39,39,39
大兴区,36,36,36
丰台区,30,30,30
外地来京人员,25,25,25
昌平区,18,18,18
通州区,16,16,16
房山区,14,14,14
