Name,Conffirmed,Deaths,Cures
湖北,31728,974,2277
武汉,18454,748,1242
孝感,2642,41,139
黄冈,2332,52,279
随州,1095,12,26
荆州,1075,17,57
襄阳,1063,12,54
黄石,835,5,87
鄂州,790,26,61
宜昌,772,8,52
荆门,656,21,69
咸宁,515,5,56
十堰,505,1,60
仙桃,438,11,41
天门,261,10,12
恩施州,195,2,33
潜江,90,3,3
神农架林区,10,0,6
广东,1177,1,211
深圳,375,375,375
广州,317,317,317
珠海,86,86,86
佛山,70,70,70
东莞,62,62,62
中山,58,58,58
惠州,53,53,53
汕头,25,25,25
湛江,21,21,21
江门,20,20,20
肇庆,15,15,15
阳江,13,13,13
梅州,13,13,13
茂名,11,11,11
清远,10,10,10
揭阳,8,8,8
韶关,7,7,7
汕尾,5,5,5
潮州,5,5,5
河源,3,3,3
待明确地区,0,0,0
浙江,1117,0,270
温州,474,474,474
杭州,157,157,157
宁波,151,151,151
台州,143,143,143
金华,53,53,53
绍兴,41,41,41
嘉兴,40,40,40
衢州,21,21,21
丽水,17,17,17
湖州,10,10,10
舟山,10,10,10
河南,1105,7,216
信阳,228,228,228
南阳,136,136,136
郑州,132,132,132
驻马店,126,126,126
商丘,86,86,86
周口,65,65,65
平顶山,54,54,54
新乡,48,48,48
安阳,46,46,46
许昌,32,32,32
漯河,31,31,31
洛阳,28,28,28
焦作,28,28,28
开封,25,25,25
鹤壁,18,18,18
濮阳,11,11,11
三门峡,7,7,7
济源,4,4,4
待明确地区,0,0,0
湖南,912,1,247
长沙,219,219,219
岳阳,134,134,134
邵阳,91,91,91
常德,73,73,73
娄底,69,69,69
株洲,68,68,68
益阳,54,54,54
衡阳,45,45,45
永州,42,42,42
怀化,39,39,39
郴州,33,33,33
湘潭,32,32,32
湘西自治州,8,8,8
张家界,5,5,5
安徽,860,4,105
合肥,150,150,150
蚌埠,134,134,134
阜阳,132,132,132
亳州,92,92,92
安庆,80,80,80
六安,59,59,59
宿州,33,33,33
马鞍山,32,32,32
芜湖,31,31,31
铜陵,27,27,27
淮北,24,24,24
淮南,24,24,24
池州,15,15,15
滁州,12,12,12
黄山,9,9,9
宣城,6,6,6
江西,804,1,127
南昌,195,195,195
上饶,111,111,111
新余,110,110,110
九江,101,101,101
宜春,83,83,83
赣州,72,72,72
抚州,67,67,67
萍乡,26,26,26
吉安,19,19,19
鹰潭,14,14,14
景德镇,5,5,5
赣江新区,1,1,1
江苏,515,0,93
南京,84,84,84
苏州,80,80,80
徐州,63,63,63
淮安,46,46,46
无锡,45,45,45
连云港,37,37,37
南通,35,35,35
泰州,34,34,34
常州,31,31,31
扬州,18,18,18
盐城,18,18,18
镇江,12,12,12
宿迁,12,12,12
重庆,489,2,72
万州区,100,100,100
江北区,25,25,25
云阳县,21,21,21
九龙坡区,20,20,20
垫江县,20,20,20
渝中区,20,20,20
忠县,19,19,19
合川区,18,18,18
开州区,18,18,18
长寿区,16,16,16
两江新区,16,16,16
渝北区,15,15,15
綦江区,15,15,15
奉节县,15,15,15
大足区,14,14,14
潼南区,14,14,14
石柱县,14,14,14
巫溪县,12,12,12
丰都县,10,10,10
巫山县,10,10,10
南岸区,9,9,9
璧山区,8,8,8
铜梁区,8,8,8
荣昌区,8,8,8
大渡口区,7,7,7
巴南区,5,5,5
永川区,5,5,5
江津区,4,4,4
梁平区,4,4,4
高新区,4,4,4
涪陵区,3,3,3
城口县,2,2,2
黔江区,2,2,2
沙坪坝区,2,2,2
彭水县,2,2,2
秀山县,1,1,1
武隆区,1,1,1
酉阳县,1,1,1
万盛经开区,1,1,1
山东,487,1,80
青岛,53,53,53
济南,46,46,46
临沂,44,44,44
烟台,41,41,41
济宁,41,41,41
潍坊,38,38,38
威海,37,37,37
聊城,37,37,37
德州,32,32,32
泰安,32,32,32
枣庄,23,23,23
淄博,20,20,20
菏泽,17,17,17
日照,15,15,15
滨州,11,11,11
四川,417,1,85
成都,124,124,124
南充,34,34,34
广安,30,30,30
达州,30,30,30
甘孜州,27,27,27
巴中,22,22,22
绵阳,21,21,21
泸州,18,18,18
内江,18,18,18
德阳,16,16,16
攀枝花,13,13,13
遂宁,10,10,10
凉山州,10,10,10
自贡,9,9,9
宜宾,9,9,9
眉山,7,7,7
雅安,6,6,6
广元,6,6,6
乐山,3,3,3
资阳,3,3,3
阿坝州,1,1,1
黑龙江,360,8,28
哈尔滨,146,146,146
绥化,39,39,39
双鸭山,38,38,38
鸡西,38,38,38
齐齐哈尔,32,32,32
佳木斯,15,15,15
七台河,15,15,15
大庆,14,14,14
牡丹江,12,12,12
鹤岗,5,5,5
黑河,4,4,4
大兴安岭,2,2,2
北京,342,3,48
海淀区,57,57,57
朝阳区,56,56,56
西城区,39,39,39
大兴区,36,36,36
丰台区,30,30,30
外地来京人员,25,25,25
昌平区,19,19,19
通州区,17,17,17
房山区,14,14,14
石景山区,13,13,13
顺义区,10,10,10
东城区,9,9,9
怀柔区,7,7,7
密云区,6,6,6
门头沟区,3,3,3
延庆区,1,1,1
待明确地区,0,0,0
上海,303,1,52
外地来沪人员,98,98,98
浦东新区,56,56,56
宝山区,20,20,20
闵行区,17,17,17
静安区,16,16,16
徐汇区,16,16,16
松江区,14,14,14
长宁区,11,11,11
奉贤区,9,9,9
普陀区,8,8,8
杨浦区,8,8,8
嘉定区,8,8,8
虹口区,7,7,7
青浦区,5,5,5
黄浦区,5,5,5
金山区,3,3,3
崇明区,2,2,2
福建,267,0,43
福州,63,63,63
莆田,51,51,51
泉州,43,43,43
厦门,31,31,31
宁德,24,24,24
南平,19,19,19
漳州,17,17,17
三明,13,13,13
龙岩,6,6,6
河北,239,2,48
沧州,32,32,32
唐山,31,31,31
保定,30,30,30
邯郸,27,27,27
石家庄,27,27,27
廊坊,26,26,26
邢台,21,21,21
张家口,21,21,21
秦皇岛,9,9,9
衡水,8,8,8
承德,7,7,7
陕西,219,0,32
西安,104,104,104
安康,22,22,22
汉中,21,21,21
咸阳,17,17,17
渭南,14,14,14
宝鸡,13,13,13
延安,8,8,8
铜川,8,8,8
商洛,7,7,7
榆林,3,3,3
