Name,Conffirmed,Deaths,Cures
韩城,1,1,1
杨凌,1,1,1
广西,215,1,33
南宁,41,41,41
北海,36,36,36
桂林,30,30,30
柳州,22,22,22
河池,21,21,21
防城港,17,17,17
来宾,11,11,11
玉林,9,9,9
钦州,8,8,8
贵港,8,8,8
梧州,5,5,5
贺州,4,4,4
百色,3,3,3
待明确地区,0,0,0
云南,153,0,20
昆明,46,46,46
西双版纳,15,15,15
玉溪,14,14,14
昭通,14,14,14
曲靖,13,13,13
大理州,13,13,13
保山,9,9,9
丽江,7,7,7
红河州,6,6,6
德宏州,5,5,5
普洱,4,4,4
楚雄州,4,4,4
文山州,2,2,2
临沧,1,1,1
待明确地区,0,0,0
海南,142,3,20
三亚,45,45,45
海口,29,29,29
万宁,13,13,13
儋州,11,11,11
澄迈,7,7,7
临高,6,6,6
琼海,6,6,6
昌江,6,6,6
陵水,4,4,4
东方,3,3,3
定安,3,3,3
文昌,3,3,3
保亭,3,3,3
乐东,2,2,2
琼中,1,1,1
贵州,127,1,13
贵阳,29,29,29
遵义,24,24,24
毕节,21,21,21
黔南州,16,16,16
六盘水,10,10,10
黔东南州,10,10,10
铜仁,9,9,9
黔西南州,4,4,4
安顺,4,4,4
山西,122,0,30
晋中,33,33,33
运城,19,19,19
太原,18,18,18
大同,11,11,11
晋城,8,8,8
长治,7,7,7
朔州,7,7,7
忻州,7,7,7
吕梁,6,6,6
阳泉,4,4,4
临汾,2,2,2
辽宁,111,0,19
沈阳,27,27,27
大连,16,16,16
盘锦,11,11,11
锦州,11,11,11
葫芦岛,11,11,11
阜新,8,8,8
丹东,7,7,7
朝阳,6,6,6
铁岭,4,4,4
本溪,3,3,3
辽阳,3,3,3
鞍山,3,3,3
营口,1,1,1
待明确地区,0,0,0
天津,104,2,10
宝坻区,39,39,39
河东区,13,13,13
河北区,11,11,11
和平区,6,6,6
外地来津人员,6,6,6
河西区,4,4,4
西青区,4,4,4
宁河区,4,4,4
东丽区,4,4,4
滨海新区,3,3,3
南开区,3,3,3
北辰区,3,3,3
红桥区,2,2,2
津南区,1,1,1
武清区,1,1,1
待明确地区,0,0,0
甘肃,86,2,21
兰州,35,35,35
天水,12,12,12
定西,8,8,8
平凉,8,8,8
甘南,6,6,6
白银,4,4,4
陇南,4,4,4
临夏,3,3,3
庆阳,3,3,3
张掖,2,2,2
金昌,1,1,1
待明确地区,0,0,0
吉林,81,1,18
长春,40,40,40
四平市,12,12,12
公主岭,6,6,6
辽源,6,6,6
吉林市,5,5,5
延边,5,5,5
通化,3,3,3
松原,2,2,2
梅河口,1,1,1
白城,1,1,1
内蒙古,58,0,5
鄂尔多斯,11,11,11
包头,11,11,11
呼和浩特,7,7,7
巴彦淖尔,6,6,6
通辽,6,6,6
呼伦贝尔,5,5,5
赤峰,4,4,4
乌兰察布,3,3,3
锡林郭勒盟,2,2,2
乌海市,2,2,2
兴安盟,1,1,1
新疆,55,0,3
乌鲁木齐,20,20,20
伊犁州,10,10,10
兵团第四师,7,7,7
兵团第九师,4,4,4
昌吉州,4,4,4
巴州,3,3,3
兵团第八师石河子市,2,2,2
吐鲁番,1,1,1
兵团第七师,1,1,1
阿克苏地区,1,1,1
兵团第六师五家渠市,1,1,1
兵团第十二师,1,1,1
宁夏,53,0,22
银川,30,30,30
吴忠,15,15,15
中卫,3,3,3
固原,3,3,3
宁东,1,1,1
石嘴山,1,1,1
香港,49,1,0
台湾,18,0,1
青海,18,0,5
西宁,15,15,15
海北州,3,3,3
澳门,10,0,1
西藏,1,0,0
拉萨,1,1,1
全球,43138,1018,4291
亚洲,43060,1018,4288
中国,42744,1017,4255
日本,161,0,9
新加坡,45,0,7
泰国,32,0,10
韩国,28,0,3
马来西亚,18,0,3
越南,15,0,1
阿联酋,8,0,0
印度,3,0,0
菲律宾,3,1,0
尼泊尔,1,0,0
柬埔寨,1,0,0
斯里兰卡,1,0,0
欧洲,43,0,0
北美洲,20,0,0
大洋洲,15,0,3
